optimgain,surrgain,explained_variance_tdlam_before,EpLenMean,EpThisIter,TimeElapsed,meankl,entropy,EpisodesSoFar,EpRewMean,TimestepsSoFar,entloss
0.01109346,0.01109346,0.6030541360378265,626.36,1,23.936867713928223,0.012979282,2.051442,25,0.52,16384,0.0
0.015957799,0.015957799,0.7868565768003464,631.6296296296297,2,25.294076681137085,0.013924872,2.0446641,27,0.3333333333333333,17408,0.0
0.008315057,0.008315057,0.788184642791748,632.8571428571429,1,26.660271406173706,0.0115152,2.0436296,28,0.39285714285714285,18432,0.0
0.01671002,0.01671002,0.8443947434425354,638.8666666666667,2,27.956767082214355,0.01499396,2.0539522,30,0.3333333333333333,19456,0.0
0.018869823,0.018869823,0.7555926591157913,634.4516129032259,1,29.620925664901733,0.014696676,2.0466535,31,0.1935483870967742,20480,0.0
0.008859758,0.008859758,0.830272376537323,639.7575757575758,2,30.98613142967224,0.01352081,2.0480618,33,0.2727272727272727,21504,0.0
0.014670329,0.014670329,0.6957436800003052,643.0571428571428,2,32.436548471450806,0.014771359,2.0479696,35,0.2,22528,0.0
0.014362806,0.014362806,0.7057017683982849,639.1944444444445,1,34.07998204231262,0.012925437,2.0484562,36,0.08333333333333333,23552,0.0
0.005363055,0.005363055,0.7315183579921722,635.7894736842105,2,35.463762521743774,0.013622809,2.0516953,38,0.23684210526315788,24576,0.0
0.00955886,0.00955886,0.8376002013683319,637.325,2,36.85822868347168,0.0136432,2.051705,40,0.275,25600,0.0
0.010598677,0.010598677,0.7829448729753494,642.975,1,38.57807779312134,0.013757485,2.049321,41,0.125,26624,0.0
0.008917326,0.008917326,0.7067985236644745,634.25,2,39.9420108795166,0.013399894,2.0482366,43,-0.1,27648,0.0
0.005710815,0.005710815,0.8534834086894989,638.725,2,41.34537672996521,0.013636693,2.0496798,45,-0.075,28672,0.0
-0.004021637,-0.004021637,0.8716071546077728,642.75,1,42.854798793792725,0.013107084,2.0506134,46,-0.125,29696,0.0
0.0062201526,0.0062201526,0.7221398949623108,642.325,2,44.21644997596741,0.013917748,2.048317,48,-0.275,30720,0.0
0.01433012,0.01433012,0.8243681043386459,647.925,1,45.54814696311951,0.014812704,2.0499773,49,-0.35,31744,0.0
0.0083577605,0.0083577605,0.8211021274328232,644.05,2,47.181615114212036,0.014105556,2.0493584,51,-0.475,32768,0.0
0.0070140744,0.0070140744,0.5938204824924469,634.7,2,48.85140013694763,0.013690565,2.0488863,53,-0.375,33792,0.0
0.0066875066,0.0066875066,0.7168782651424408,629.375,2,50.444578886032104,0.013094182,2.0468593,55,-0.375,34816,0.0
0.007042563,0.007042563,0.8586286753416061,629.825,1,51.79728102684021,0.013950965,2.0478377,56,-0.375,35840,0.0
0.0008794069,0.0008794069,0.8558969646692276,628.5,2,53.37637734413147,0.014042923,2.0447438,58,-0.25,36864,0.0
0.011156151,0.011156151,0.7133999168872833,632.325,1,54.73668098449707,0.013475711,2.045277,59,-0.375,37888,0.0
0.010985651,0.010985651,0.7796999961137772,636.3,2,56.077617168426514,0.014765117,2.0479834,61,-0.525,38912,0.0
0.011997057,0.011997057,0.8441500216722488,631.025,2,57.53101444244385,0.013893319,2.048595,63,-0.375,39936,0.0
0.010883975,0.010883975,0.7489140331745148,633.775,1,58.88630175590515,0.014361352,2.048421,64,-0.375,40960,0.0
0.0047427723,0.0047427723,0.7935638576745987,640.725,1,60.196722745895386,0.013946145,2.0466442,65,-0.2,41984,0.0
0.0067864,0.0067864,0.760454535484314,637.4,2,61.87182950973511,0.0127415005,2.0532932,67,0.025,43008,0.0
0.0030228766,0.0030228766,0.8241060227155685,632.025,2,63.241148471832275,0.014550826,2.049078,69,0.2,44032,0.0
0.003945418,0.003945418,0.7483168542385101,634.075,1,64.80443620681763,0.012064895,2.045814,70,0.2,45056,0.0
0.0035707315,0.0035707315,0.7725321054458618,633.45,2,66.15690302848816,0.012285488,2.0422273,72,0.325,46080,0.0
0.023977686,0.023977686,0.7250037491321564,620.475,2,67.49958062171936,0.014275628,2.0526376,74,0.225,47104,0.0
0.006532764,0.006532764,0.7400065958499908,625.475,1,68.85007500648499,0.013738465,2.0383217,75,0.325,48128,0.0
0.014139482,0.014139482,0.7609636038541794,625.425,2,70.15590810775757,0.012698043,2.0472932,77,0.2,49152,0.0
0.011875836,0.011875836,0.8285243660211563,629.925,2,71.4693398475647,0.0142598655,2.0480475,79,0.025,50176,0.0
0.010334047,0.010334047,0.8075491338968277,617.325,2,72.8329107761383,0.012694827,2.0548034,81,0.05,51200,0.0
0.016685575,0.016685575,0.8333817571401596,620.1,1,74.19140768051147,0.014263245,2.0280786,82,0.075,52224,0.0
0.008278028,0.008278028,0.7972903847694397,625.35,2,75.54673862457275,0.014810091,2.0470963,84,0.1,53248,0.0
0.011575177,0.011575177,0.8835245668888092,621.25,2,76.90148830413818,0.014104732,2.0493155,86,-0.1,54272,0.0
0.011722617,0.011722617,0.8858213722705841,616.35,2,78.25899982452393,0.014836654,2.0402217,88,0.05,55296,0.0
0.014486614,0.014486614,0.7739669680595398,612.75,1,79.61534404754639,0.014919287,2.027143,89,-0.05,56320,0.0
0.010811573,0.010811573,0.8392814695835114,614.7,2,80.97419261932373,0.0143548995,2.036418,91,0.125,57344,0.0
0.007739786,0.007739786,0.8872164189815521,619.55,2,82.55101585388184,0.014190799,2.0416598,93,-0.125,58368,0.0
0.015411172,0.015411172,0.8169726431369781,620.95,1,83.85949301719666,0.014812387,2.0278864,94,-0.225,59392,0.0
0.009531574,0.009531574,0.8332307934761047,623.75,2,85.36453604698181,0.0147496,2.0224822,96,-0.2,60416,0.0
0.01406988,0.01406988,0.7859380543231964,623.925,1,86.64674758911133,0.013836593,2.03694,97,-0.3,61440,0.0
0.0074332175,0.0074332175,0.8352087140083313,623.8,2,87.9276659488678,0.014260528,2.0394964,99,-0.3,62464,0.0
0.014559314,0.014559314,0.9012430235743523,616.825,2,89.2559711933136,0.012395155,2.0393,101,-0.4,63488,0.0
0.01638648,0.01638648,0.7067212462425232,612.025,1,90.5860948562622,0.012621903,2.0433688,102,-0.3,64512,0.0
0.014409122,0.014409122,0.8097040355205536,617.3,2,91.8695900440216,0.013954567,2.030875,104,-0.375,65536,0.0
0.008394778,0.008394778,0.8502250164747238,602.1,2,93.49094605445862,0.0128043415,2.0336852,106,-0.475,66560,0.0
0.019311696,0.019311696,0.7628409564495087,601.65,2,94.84946489334106,0.014790499,2.0317008,108,-0.675,67584,0.0
0.010573579,0.010573579,0.7592537999153137,595.55,2,96.18570613861084,0.014545754,2.0389018,110,-0.775,68608,0.0
0.010306677,0.010306677,0.8639276921749115,593.65,2,97.54846906661987,0.011949997,2.0285203,112,-0.7,69632,0.0
0.013397314,0.013397314,0.8455885201692581,596.15,1,99.13842129707336,0.013701096,2.0309696,113,-0.475,70656,0.0
0.014700644,0.014700644,0.7349057793617249,601.95,2,100.42031860351562,0.013441173,2.0022583,115,-0.7,71680,0.0
0.027228389,0.027228389,0.8203708678483963,597.975,1,102.00540208816528,0.014812477,2.0466154,116,-0.725,72704,0.0
0.012203803,0.012203803,0.8348041325807571,601.725,2,103.37030291557312,0.012791874,2.0040689,118,-0.8,73728,0.0
0.012511436,0.012511436,0.7205197513103485,606.175,1,104.7298104763031,0.012527293,2.0075123,119,-0.7,74752,0.0
0.014990998,0.014990998,0.8583856076002121,612.1,2,106.04846930503845,0.0122665465,2.0380726,121,-0.675,75776,0.0
