TimestepsSoFar,EpThisIter,EpisodesSoFar,meankl,entloss,optimgain,EpLenMean,TimeElapsed,entropy,explained_variance_tdlam_before,EpRewMean,surrgain
4235264,0,2639,0.0075560506,0.0,0.045481667,3025.0,62631.722006082535,0.95044386,-9.585232734680176,-1.225,0.045481667
4236288,1,2640,0.014530488,0.0,0.045218766,3025.0,62632.352316856384,0.7905451,-17.220090866088867,-1.175,0.045218766
4237312,0,2640,0.004521845,0.0,0.022874188,3025.0,62632.981853961945,0.8428545,0.07863157987594604,-1.175,0.022874188
4238336,0,2640,0.004232817,0.0,0.033168793,3025.0,62633.611382484436,0.8551768,-2.1462903022766113,-1.175,0.033168793
4239360,1,2641,0.009458065,0.0,0.03209521,3025.0,62634.242899656296,0.78723466,-2.183624744415283,-1.175,0.03209521
4240384,0,2641,0.0072506703,0.0,0.02953297,3025.0,62634.87195801735,0.8281044,0.3524392247200012,-1.175,0.02953297
4241408,0,2641,0.0052825147,0.0,0.036237,3025.0,62635.500504016876,0.8222836,0.6157726645469666,-1.175,0.036237
4242432,1,2642,0.006045022,0.0,0.047649305,3025.0,62636.13282632828,0.75020456,-1.8586223125457764,-1.2,0.047649305
4243456,0,2642,0.0041737366,0.0,0.02592342,3025.0,62636.78328514099,0.74016774,-6.176630973815918,-1.2,0.02592342
4244480,0,2642,0.011247361,0.0,0.04073761,3025.0,62637.43668580055,0.7459252,0.35592836141586304,-1.2,0.04073761
4245504,1,2643,0.0076171444,0.0,0.051262483,3025.0,62638.09482240677,0.7645149,0.10112994909286499,-1.175,0.051262483
4246528,0,2643,0.0057825334,0.0,0.029161237,3025.0,62638.75088715553,0.8008106,0.3504142165184021,-1.175,0.029161237
4247552,0,2643,0.0056244675,0.0,0.04138016,3025.0,62639.40873146057,0.8275995,-1.4114956855773926,-1.175,0.04138016
4248576,1,2644,0.0064582936,0.0,0.031218585,3025.0,62640.131041288376,0.6534027,0.3446376919746399,-1.125,0.031218585
4249600,0,2644,0.0049445163,0.0,0.037370585,3025.0,62640.87373185158,0.76803297,-0.47411489486694336,-1.125,0.037370585
4250624,0,2644,0.005465217,0.0,0.03228148,3025.0,62641.528441905975,0.696546,-0.9655745029449463,-1.125,0.03228148
4251648,1,2645,0.0061371042,0.0,0.033289846,3025.0,62642.185232400894,0.741104,-1.4717943668365479,-1.075,0.033289846
4252672,0,2645,0.013857616,0.0,0.050222248,3025.0,62642.83870720863,0.8920385,-9.7855863571167,-1.075,0.050222248
4253696,0,2645,0.0039099064,0.0,0.023657542,3025.0,62643.494126319885,0.80863905,0.42428672313690186,-1.075,0.023657542
4254720,1,2646,0.0058053853,0.0,0.0750323,3025.0,62644.148265361786,0.7465252,-20.029285430908203,-1.1,0.0750323
4255744,0,2646,0.0054502087,0.0,0.04305081,3025.0,62644.80475783348,0.82691664,-13.124605178833008,-1.1,0.04305081
4256768,0,2646,0.007968448,0.0,0.04726842,3025.0,62645.459486722946,0.8444927,-9.421445846557617,-1.1,0.04726842
4257792,1,2647,0.014928054,0.0,0.14906263,3025.0,62646.11217498779,0.7650808,-9.272650718688965,-1.05,0.14906263
4258816,0,2647,0.0041828933,0.0,0.025894202,3025.0,62646.769724845886,0.8641801,0.38145291805267334,-1.05,0.025894202
4259840,0,2647,0.0056868615,0.0,0.037033703,3025.0,62647.425558805466,0.647234,-4.956481456756592,-1.05,0.037033703
4260864,1,2648,0.0042073247,0.0,0.042228647,3025.0,62648.080360651016,0.75723344,0.048408448696136475,-0.975,0.042228647
4261888,0,2648,0.0054073893,0.0,0.03303095,3025.0,62648.7345662117,0.6628499,0.22574365139007568,-0.975,0.03303095
4262912,0,2648,0.00618461,0.0,0.032366294,3025.0,62649.3923664093,0.66616845,-4.919942378997803,-0.975,0.032366294
4263936,1,2649,0.0073803263,0.0,0.023890872,3025.0,62650.05031251907,0.733385,-10.541685104370117,-0.975,0.023890872
4264960,0,2649,0.014380678,0.0,0.04821767,3025.0,62650.70440030098,0.70756453,0.493285596370697,-0.975,0.04821767
4265984,0,2649,0.0076470757,0.0,0.0848358,3025.0,62651.359900951385,0.6818079,-15.820226669311523,-0.975,0.0848358
4267008,1,2650,0.0057452107,0.0,0.035681635,3025.0,62652.01661539078,0.76412964,-13.979050636291504,-0.925,0.035681635
4268032,0,2650,0.01270656,0.0,0.027226254,3025.0,62652.66952419281,0.72267544,0.2895049452781677,-0.925,0.027226254
4269056,1,2651,0.013421562,0.0,0.057391006,3025.0,62653.32517170906,0.73064315,-8.861339569091797,-0.95,0.057391006
4270080,0,2651,0.005498087,0.0,0.01766371,3025.0,62653.98112511635,0.87655914,-9.363144874572754,-0.95,0.01766371
4271104,0,2651,0.005877378,0.0,0.028196998,3025.0,62654.63761305809,0.69765216,0.4285964369773865,-0.95,0.028196998
4272128,1,2652,0.004232756,0.0,0.025296753,3025.0,62655.29254937172,0.81500477,0.47192442417144775,-0.9,0.025296753
4273152,0,2652,0.0073091593,0.0,0.051755566,3025.0,62655.9637696743,0.7862947,-2.044884443283081,-0.9,0.051755566
4274176,0,2652,0.0052913534,0.0,0.032076363,3025.0,62656.60153412819,0.85531,-1.2191433906555176,-0.9,0.032076363
4275200,1,2653,0.0046562403,0.0,0.034961406,3025.0,62657.23357272148,0.8692081,0.28428661823272705,-0.9,0.034961406
4276224,0,2653,0.0072440337,0.0,0.034616157,3025.0,62657.86458492279,0.78195983,-9.824875831604004,-0.9,0.034616157
4277248,0,2653,0.005830421,0.0,0.025542932,3025.0,62658.50240421295,0.69171304,0.4856262803077698,-0.9,0.025542932
4278272,1,2654,0.0047713555,0.0,0.027089648,3025.0,62659.157699108124,0.62868816,0.4184361696243286,-0.825,0.027089648
4279296,0,2654,0.0047364216,0.0,0.03445735,3025.0,62659.81241250038,0.83562386,-0.3520885705947876,-0.825,0.03445735
4280320,0,2654,0.0039874706,0.0,0.031221138,3025.0,62660.46781086922,0.75671464,-2.0113890171051025,-0.825,0.031221138
4281344,1,2655,0.004229448,0.0,0.01903687,3025.0,62661.10065841675,0.82519305,0.6803548336029053,-0.85,0.01903687
4282368,0,2655,0.005847897,0.0,0.028737094,3025.0,62661.73216819763,0.7767629,-8.70710563659668,-0.85,0.028737094
