EpLenMean,TimestepsSoFar,EpisodesSoFar,TimeElapsed,EpThisIter,loss_vf_loss,loss_pol_entpen,loss_pol_surr,loss_ent,EpRewMean,loss_kl,ev_tdlam_before
674.09,4767744,7167,17267.52651000023,6,0.014742382,0.0,-0.014962561,0.2373987,-0.61,0.0054007377,0.9465536996722221
678.84,4771840,7173,17277.117510318756,6,0.014835304,0.0,-0.015395658,0.24056078,-0.7,0.0064924797,0.9437656998634338
680.73,4775936,7178,17286.581510305405,5,0.018272383,0.0,-0.015092727,0.2123632,-0.7,0.0051638666,0.9356295391917229
676.99,4780032,7185,17296.10486316681,7,0.015520622,0.0,-0.018326208,0.2284652,-0.6,0.0058639133,0.9334897100925446
677.38,4784128,7192,17305.484637975693,7,0.017228747,0.0,-0.01930865,0.2283758,-0.52,0.0071867714,0.9435546807944775
672.16,4788224,7198,17314.87051010132,6,0.016357608,0.0,-0.020507662,0.24924651,-0.48,0.0054062516,0.9483646340668201
676.25,4792320,7204,17324.400510787964,6,0.0182084,0.0,-0.014808029,0.23697029,-0.47,0.0052814945,0.9294767156243324
673.12,4796416,7210,17334.255525827408,6,0.016092325,0.0,-0.017540252,0.2384192,-0.46,0.006438186,0.9364513605833054
668.28,4800512,7216,17434.91551041603,6,0.018278409,0.0,-0.017220184,0.2391758,-0.38,0.0066910866,0.940587230026722
676.3,4804608,7222,17444.757510900497,6,0.01598308,0.0,-0.021201545,0.24057193,-0.32,0.0069239573,0.9300607591867447
676.19,4808704,7228,17453.967593431473,6,0.01591793,0.0,-0.015407293,0.2299808,-0.37,0.0065529123,0.9413698427379131
675.37,4812800,7234,17463.568530082703,6,0.014344899,0.0,-0.017634656,0.24422622,-0.37,0.0070118685,0.9207443594932556
665.78,4816896,7240,17472.83051085472,6,0.015074474,0.0,-0.01787845,0.24228215,-0.35,0.0055642803,0.9411891922354698
667.2,4820992,7247,17482.08072400093,7,0.013494994,0.0,-0.017951429,0.22993486,-0.17,0.006072316,0.9478621408343315
662.01,4825088,7254,17491.274510860443,7,0.014423149,0.0,-0.016563281,0.23168443,-0.27,0.0053825583,0.941963043063879
671.59,4829184,7259,17500.513781785965,5,0.013870221,0.0,-0.015024355,0.23753665,-0.23,0.0065961964,0.9502641148865223
676.76,4833280,7265,17509.76751089096,6,0.015019592,0.0,-0.018746138,0.23505317,-0.21,0.0067435997,0.9288628399372101
674.87,4837376,7270,17518.976531028748,5,0.018143471,0.0,-0.016370896,0.22551791,-0.24,0.005464911,0.9361737817525864
666.21,4841472,7277,17528.699511051178,7,0.017987356,0.0,-0.015261164,0.21930341,-0.17,0.005309994,0.9374945759773254
667.7,4845568,7283,17538.341511011124,6,0.015985461,0.0,-0.014388896,0.22611222,-0.09,0.0054208925,0.9301909804344177
670.59,4849664,7290,17548.2785115242,7,0.014898702,0.0,-0.01636096,0.2170144,-0.27,0.005931092,0.9431400261819363
670.87,4853760,7296,17559.04151582718,6,0.014487646,0.0,-0.018347675,0.22775646,-0.15,0.007219792,0.941665455698967
673.21,4857856,7301,17568.73264193535,5,0.013941577,0.0,-0.016188193,0.23691958,-0.17,0.00522485,0.9336775168776512
676.33,4861952,7307,17578.22651076317,6,0.015202358,0.0,-0.01830627,0.2350846,-0.04,0.00568024,0.9372464716434479
672.66,4866048,7314,17587.838512659073,7,0.017859688,0.0,-0.016808826,0.22519958,0.03,0.0065715173,0.9378160089254379
672.78,4870144,7320,17597.786510944366,6,0.015288052,0.0,-0.013875456,0.22324072,-0.08,0.005090994,0.9415923096239567
670.55,4874240,7326,17607.234510421753,6,0.015944019,0.0,-0.0154706575,0.22243974,-0.14,0.0046417494,0.9442775547504425
665.87,4878336,7332,17616.715511083603,6,0.01628432,0.0,-0.01799357,0.2344094,-0.05,0.0063781035,0.9480201154947281
663.9,4882432,7338,17626.12651157379,6,0.016202789,0.0,-0.016196294,0.24974176,-0.06,0.00648296,0.9304185882210732
666.12,4886528,7345,17635.5125105381,7,0.016048588,0.0,-0.01701901,0.23924518,-0.11,0.0054544853,0.9442178905010223
675.75,4890624,7350,17644.84951019287,5,0.017241381,0.0,-0.017785903,0.2512971,-0.21,0.006681849,0.932983934879303
674.84,4894720,7356,17654.332510709763,6,0.014698938,0.0,-0.017153386,0.24617758,-0.06,0.005524846,0.9405443109571934
675.45,4898816,7362,17664.197772979736,6,0.012630671,0.0,-0.0183013,0.25020385,-0.08,0.0062308945,0.9407210387289524
669.55,4902912,7368,17765.73151063919,6,0.013096974,0.0,-0.017691443,0.2304888,-0.12,0.006115384,0.9441720582544804
668.3,4907008,7375,17775.702511310577,7,0.01570847,0.0,-0.01506243,0.21596703,-0.21,0.0050900755,0.9388745799660683
667.54,4911104,7382,17784.92051076889,7,0.017309595,0.0,-0.015350476,0.22249897,-0.16,0.0057865884,0.9473452791571617
671.27,4915200,7387,17794.560510635376,5,0.01682467,0.0,-0.014655275,0.22104655,-0.07,0.0054660477,0.9343196153640747
671.72,4919296,7393,17803.78651022911,6,0.015502682,0.0,-0.015898544,0.22782488,-0.12,0.006284516,0.9438920095562935
668.01,4923392,7399,17812.997510433197,6,0.016786609,0.0,-0.016498733,0.22426802,-0.09,0.0063534076,0.915425606071949
669.46,4927488,7405,17822.195511102676,6,0.019100344,0.0,-0.016824825,0.23923315,-0.17,0.0058808974,0.9288590922951698
673.15,4931584,7411,17831.41152358055,6,0.014677611,0.0,-0.01641347,0.22023542,-0.28,0.0064168135,0.9410292208194733
667.83,4935680,7418,17840.650522470474,7,0.013768261,0.0,-0.0134494305,0.22436473,-0.21,0.006269755,0.947326373308897
670.78,4939776,7424,17849.846524238586,6,0.015717298,0.0,-0.01816393,0.23807967,-0.17,0.007262287,0.9347565546631813
667.82,4943872,7430,17859.53651189804,6,0.015919976,0.0,-0.013584555,0.21937016,-0.05,0.004869203,0.9349567890167236
674.76,4947968,7436,17868.810517311096,6,0.012747714,0.0,-0.013102032,0.2256643,-0.09,0.0051480206,0.9426862485706806
677.59,4952064,7441,17878.35551071167,5,0.018209359,0.0,-0.017327897,0.25225052,-0.13,0.0060554733,0.9305971935391426
665.39,4956160,7449,17887.98151063919,8,0.01691277,0.0,-0.016122295,0.23357165,0.06,0.0052664964,0.9377724379301071
666.38,4960256,7455,17897.56751060486,6,0.015934918,0.0,-0.017955773,0.23476166,-0.01,0.0069329944,0.9369629919528961
664.68,4964352,7461,17907.095510482788,6,0.016588664,0.0,-0.013110852,0.20963845,-0.07,0.0044233412,0.9418942853808403
665.86,4968448,7467,17916.574511051178,6,0.017517462,0.0,-0.015684517,0.24422431,-0.07,0.005849194,0.9381174258887768
665.66,4972544,7473,17926.582510232925,6,0.015755974,0.0,-0.018414289,0.25228155,0.0,0.005706541,0.9457530789077282
665.83,4976640,7480,17936.01451086998,7,0.017973593,0.0,-0.016794547,0.20708069,0.0,0.004709316,0.9377815201878548
664.4,4980736,7486,17945.553510904312,6,0.01657355,0.0,-0.017339354,0.23497398,-0.08,0.005179224,0.9437211416661739
659.4,4984832,7493,17954.947767019272,7,0.016761767,0.0,-0.015247492,0.21961974,-0.1,0.0050891405,0.9459758922457695
651.6,4988928,7500,17964.335521936417,7,0.016189171,0.0,-0.016427828,0.23158145,-0.17,0.004544475,0.9394173286855221
646.25,4993024,7506,17973.681510925293,6,0.01608352,0.0,-0.018476017,0.24028169,-0.13,0.0060216873,0.9520293287932873
644.5,4997120,7513,17983.081510543823,7,0.019794887,0.0,-0.015456329,0.2233973,-0.14,0.0054058624,0.9396042004227638
654.07,5001216,7518,18084.382594347,5,0.015794178,0.0,-0.015949229,0.25511616,-0.08,0.006123362,0.9272693172097206
654.01,5005312,7524,18094.24463057518,6,0.0138907395,0.0,-0.015558849,0.23905084,-0.14,0.0048947195,0.9464679472148418
649.22,5009408,7531,18103.548599481583,7,0.014840599,0.0,-0.018181013,0.24060626,-0.21,0.0073381276,0.9512153193354607
653.18,5013504,7536,18112.81878733635,5,0.019309998,0.0,-0.014924279,0.22231622,-0.24,0.0045873155,0.938678864389658
646.83,5017600,7543,18122.573632001877,7,0.016071986,0.0,-0.017266896,0.26219997,-0.35,0.0064131427,0.9343093186616898
656.21,5021696,7549,18131.870599269867,6,0.016524306,0.0,-0.02019852,0.25296018,-0.37,0.0068129296,0.936163641512394
656.21,5025792,7555,18141.158600330353,6,0.016368283,0.0,-0.017565588,0.25253516,-0.37,0.0065901405,0.9333342984318733
655.22,5029888,7560,18150.4405977726,5,0.019368894,0.0,-0.014560457,0.2398378,-0.45,0.0042133247,0.9277599453926086
653.54,5033984,7567,18159.75859975815,7,0.014239304,0.0,-0.017176302,0.24753797,-0.4,0.0058640335,0.9432757645845413
657.15,5038080,7573,18169.034635305405,6,0.020481622,0.0,-0.016609397,0.2342535,-0.45,0.0058824276,0.9249453544616699
656.38,5042176,7580,18178.320774316788,7,0.019085348,0.0,-0.018318292,0.26158682,-0.39,0.0062509025,0.925701878964901
658.95,5046272,7585,18188.18563389778,5,0.018859107,0.0,-0.018965079,0.25692257,-0.28,0.0062122685,0.9384077601134777
662.83,5050368,7591,18197.745636463165,6,0.018435687,0.0,-0.01790294,0.24736515,-0.37,0.0069001825,0.9231398031115532
671.99,5054464,7597,18207.325632810593,6,0.015136453,0.0,-0.016254256,0.27473843,-0.5,0.005750962,0.9353380724787712
678.71,5058560,7603,18216.900652885437,6,0.016083596,0.0,-0.016045805,0.2492147,-0.45,0.0057565393,0.9341851994395256
680.18,5062656,7609,18226.40463590622,6,0.019609317,0.0,-0.018518515,0.24648517,-0.44,0.005767914,0.9292955100536346
673.94,5066752,7616,18235.98365330696,7,0.018521402,0.0,-0.017109485,0.23032367,-0.38,0.0061321636,0.9267398118972778
663.98,5070848,7623,18245.544598579407,7,0.016327435,0.0,-0.01798358,0.2211177,-0.51,0.0043920493,0.9283602237701416
663.76,5074944,7629,18255.57659983635,6,0.0141609255,0.0,-0.015198588,0.24783593,-0.58,0.0058596334,0.9447571597993374
655.87,5079040,7636,18265.08363366127,7,0.015231087,0.0,-0.01821222,0.2484584,-0.36,0.0058713825,0.9432919658720493
655.8,5083136,7643,18274.493896245956,7,0.014399586,0.0,-0.018489128,0.2616231,-0.21,0.006149168,0.9490424022078514
655.95,5087232,7649,18283.991608142853,6,0.0147458445,0.0,-0.015087221,0.2544126,-0.33,0.005595223,0.93228430300951
659.42,5091328,7654,18293.40061879158,5,0.01683442,0.0,-0.014358589,0.22069374,-0.28,0.0056422823,0.9331279471516609
649.1,5095424,7661,18302.826632976532,7,0.018444464,0.0,-0.016516475,0.24035034,-0.2,0.00555497,0.9419160224497318
658.44,5099520,7667,18312.257597208023,6,0.014260116,0.0,-0.018826019,0.24309112,-0.2,0.005790838,0.9440259151160717
662.56,5103616,7672,18420.654632806778,5,0.021257197,0.0,-0.016329344,0.23347908,-0.27,0.0054379078,0.9229252636432648
660.15,5107712,7678,18430.47249531746,6,0.01671309,0.0,-0.018331638,0.23096515,-0.23,0.005739398,0.930989146232605
658.97,5111808,7685,18439.68151116371,7,0.019477796,0.0,-0.016197547,0.22780441,-0.33,0.0049318857,0.9313938468694687
654.99,5115904,7691,18449.270495414734,6,0.016065989,0.0,-0.016122123,0.2424145,-0.18,0.005420208,0.9454780742526054
657.06,5120000,7697,18458.544495344162,6,0.016448915,0.0,-0.01915503,0.24738014,-0.18,0.0062274165,0.928884968161583
656.81,5124096,7702,18467.756494998932,5,0.015201313,0.0,-0.014501837,0.2296211,-0.23,0.0049723317,0.9343849718570709
662.77,5128192,7708,18476.953498363495,6,0.0150521975,0.0,-0.01794355,0.24495785,-0.1,0.0073160743,0.933543249964714
658.48,5132288,7715,18486.18949532509,7,0.015777532,0.0,-0.017083196,0.23149373,-0.07,0.0055036303,0.9374019950628281
667.4,5136384,7721,18495.408495426178,6,0.016266694,0.0,-0.014969325,0.25658807,0.06,0.006469114,0.9426141045987606
671.99,5140480,7727,18504.62449479103,6,0.014852802,0.0,-0.016222745,0.25972965,0.14,0.0059186234,0.9339903295040131
677.31,5144576,7732,18514.19649529457,5,0.013447431,0.0,-0.015823755,0.24906282,0.19,0.006644125,0.9296005517244339
676.32,5148672,7739,18523.715495109558,7,0.016608004,0.0,-0.016167177,0.2661507,0.17,0.005724499,0.9320554286241531
680.83,5152768,7745,18533.277495622635,6,0.016080735,0.0,-0.016261216,0.22728178,0.22,0.006483912,0.9390211328864098
672.92,5156864,7752,18542.88249540329,7,0.015721278,0.0,-0.015831739,0.24413997,0.03,0.005767143,0.9389536082744598
675.05,5160960,7758,18552.396495580673,6,0.015440154,0.0,-0.017764665,0.2449652,0.1,0.005873924,0.9409332014620304
669.94,5165056,7765,18561.877495527267,7,0.015580226,0.0,-0.015759148,0.2457062,0.18,0.004704149,0.9369188547134399
664.8,5169152,7771,18571.3594956398,6,0.018184531,0.0,-0.016550459,0.249057,0.22,0.006506569,0.9295605570077896
666.94,5173248,7777,18581.26649570465,6,0.017834324,0.0,-0.017445363,0.23973148,0.22,0.0044519273,0.9384157434105873
666.15,5177344,7783,18590.768644809723,6,0.014815061,0.0,-0.014484532,0.2591768,0.06,0.0058229943,0.943388070911169
664.22,5181440,7790,18600.151772737503,7,0.017060678,0.0,-0.016096525,0.24955723,0.05,0.0058422503,0.9383597858250141
665.59,5185536,7795,18609.57449555397,5,0.015939223,0.0,-0.016196905,0.27888086,0.07,0.005707029,0.9513976201415062
656.01,5189632,7802,18618.990495681763,7,0.017601755,0.0,-0.01688007,0.24434972,0.04,0.006982489,0.9400013200938702
651.67,5193728,7809,18628.24556016922,7,0.01749588,0.0,-0.01695179,0.26212624,0.07,0.0055297934,0.9410898834466934
657.18,5197824,7815,18637.622637033463,6,0.015885098,0.0,-0.016941283,0.25721657,0.2,0.0060456707,0.9419555775821209
659.44,5201920,7820,18742.008496284485,5,0.0148055,0.0,-0.019111745,0.26244667,0.13,0.0062579247,0.950044259428978
