loss_pol_surr,ev_tdlam_before,loss_kl,loss_ent,loss_vf_loss,loss_pol_entpen,EpRewMean,TimestepsSoFar,TimeElapsed,EpLenMean,EpisodesSoFar,EpThisIter
-0.01204076,0.6337769031524658,0.0055876556,1.1758883,0.012842997,0.0,-4.76,331776,466.351078748703,1231.4,396,2
-0.0129073,0.5722835958003998,0.006913484,1.1076026,0.008457762,0.0,-4.76,335872,470.1323857307434,1256.04,398,2
-0.014093752,0.6406421065330505,0.0065173,1.1211623,0.009612983,0.0,-4.73,339968,473.8477027416229,1282.97,401,3
-0.015313988,0.47840416431427,0.008094564,1.1209652,0.008565991,0.0,-4.73,344064,477.5270812511444,1304.18,402,1
-0.01362499,0.42777979373931885,0.0061621964,1.1451226,0.0051182196,0.0,-4.7,348160,481.3260624408722,1321.15,403,1
-0.016519839,0.5631611347198486,0.011294828,1.1269549,0.011514356,0.0,-4.69,352256,485.1645185947418,1351.91,406,3
-0.01293554,0.631351500749588,0.0059706573,1.1459088,0.011216306,0.0,-4.67,356352,489.1801178455353,1378.77,408,2
-0.015836183,0.4828251600265503,0.006042218,1.1396939,0.008547246,0.0,-4.68,360448,493.12004256248474,1384.53,409,1
-0.014574354,0.5861735343933105,0.005705406,1.1184729,0.008629851,0.0,-4.67,364544,496.7209951877594,1424.81,412,3
-0.012891463,0.46159493923187256,0.006879387,1.208855,0.0052155717,0.0,-4.66,368640,500.4203608036041,1447.17,413,1
-0.011741669,0.42496246099472046,0.005798444,1.1797372,0.0059585753,0.0,-4.64,372736,504.10895895957947,1469.12,414,1
-0.016634522,0.3716365098953247,0.008547196,1.1819489,0.009432335,0.0,-4.64,376832,507.8942070007324,1500.05,416,2
-0.012856483,0.635509729385376,0.006782408,1.2233922,0.0049521313,0.0,-4.62,380928,511.68940711021423,1530.34,418,2
-0.014876658,0.5867932140827179,0.006678499,1.1502048,0.009615785,0.0,-4.63,385024,515.5931799411774,1548.28,420,2
-0.014047208,0.48500609397888184,0.0071848845,1.1150966,0.0033083828,0.0,-4.59,389120,519.5231258869171,1564.75,421,1
-0.014027283,0.4612135887145996,0.0074546714,1.1577183,0.009620212,0.0,-4.58,393216,523.2888462543488,1586.89,423,2
-0.01020909,0.5790679454803467,0.005929496,1.1296198,0.005165361,0.0,-4.57,397312,527.1352407932281,1619.15,425,2
-0.013022844,0.5807050466537476,0.0055248025,1.0940181,0.009516106,0.0,-4.57,401408,614.031810760498,1632.85,426,1
-0.01548909,0.5440201461315155,0.0057267947,1.1251663,0.006877721,0.0,-4.53,405504,617.9599761962891,1660.27,428,2
-0.015799344,0.5528567433357239,0.007394812,1.1346896,0.010739084,0.0,-4.52,409600,621.8446664810181,1687.47,430,2
-0.013093118,0.47255730628967285,0.008614228,1.1243433,0.008077712,0.0,-4.53,413696,625.5407764911652,1697.81,431,1
-0.011169397,0.5800409018993378,0.007881519,1.079979,0.0060249283,0.0,-4.49,417792,629.3711252212524,1738.0,433,2
-0.013532379,0.5892290472984314,0.0071582426,1.0874184,0.0071911076,0.0,-4.49,421888,633.1930589675903,1752.04,434,1
-0.010795986,0.6830789744853973,0.007399824,1.0192254,0.0065087033,0.0,-4.46,425984,637.0188822746277,1787.69,436,2
-0.013499432,0.6037692129611969,0.005046765,1.1399474,0.0058474643,0.0,-4.46,430080,640.7144501209259,1808.58,438,2
-0.011432559,0.5841942727565765,0.005664693,1.115081,0.006039933,0.0,-4.45,434176,644.4311680793762,1829.13,439,1
-0.013565881,0.6402730643749237,0.004986443,1.1371834,0.007976651,0.0,-4.45,438272,648.2860813140869,1847.39,441,2
-0.016061068,0.585291862487793,0.008655441,1.1490186,0.0075017745,0.0,-4.44,442368,652.0010952949524,1876.97,443,2
-0.014302681,0.5578646063804626,0.0063311527,1.13175,0.006295428,0.0,-4.39,446464,655.7750091552734,1898.94,444,1
-0.014563346,0.5050380527973175,0.0071946117,1.0738171,0.0047057844,0.0,-4.38,450560,659.3845791816711,1919.22,445,1
-0.015958749,0.6204337179660797,0.0094825905,1.1552316,0.0046233498,0.0,-4.35,454656,663.2150382995605,1959.31,447,2
-0.013908725,0.3988076448440552,0.0049387966,1.1035851,0.0043917666,0.0,-4.31,458752,666.9900512695312,1982.05,448,1
-0.02221411,0.3853474259376526,0.008004841,1.1914281,0.010549212,0.0,-4.29,462848,670.6046946048737,2007.97,450,2
-0.013057472,-0.03223824501037598,0.006472701,1.1668645,0.002134032,0.0,-4.28,466944,674.3100159168243,2028.46,451,1
-0.014458156,0.1829201579093933,0.0077097793,1.1846304,0.0015801736,0.0,-4.19,471040,677.9099156856537,2057.43,453,2
-0.009519368,0.366047203540802,0.0060342983,1.1808519,0.0050696176,0.0,-4.16,475136,681.7750945091248,2077.84,454,1
-0.0149909835,0.350730836391449,0.008550771,1.1251426,0.0059706457,0.0,-4.15,479232,685.7670068740845,2091.91,455,1
-0.011173703,0.5919716954231262,0.0054814364,1.0532297,0.00475518,0.0,-4.14,483328,689.696063041687,2126.35,457,2
-0.014996232,0.4702259302139282,0.008431188,1.1206378,0.003334966,0.0,-4.11,487424,693.7731428146362,2145.22,458,1
-0.013772766,0.633111298084259,0.007235606,1.0855737,0.008445128,0.0,-4.08,491520,697.6480667591095,2165.78,460,2
-0.0148467235,0.7049257457256317,0.006107062,1.1577177,0.0048600365,0.0,-4.07,495616,701.420441865921,2183.7,461,1
-0.013941352,0.47560441493988037,0.0068331454,1.1480646,0.008284717,0.0,-4.06,499712,705.7028844356537,2211.64,463,2
-0.014125646,0.6272254288196564,0.005303177,1.1120082,0.009116776,0.0,-4.06,503808,811.3516473770142,2230.6,464,1
-0.014077817,0.746216893196106,0.005928773,1.1714612,0.0034161787,0.0,-4.01,507904,815.698096036911,2249.23,466,2
-0.014107285,0.5028035938739777,0.0056763478,1.1054819,0.0075731194,0.0,-4.0,512000,819.9481270313263,2264.59,467,1
-0.01593537,0.39341044425964355,0.006555775,1.1848023,0.006492858,0.0,-3.99,516096,823.9855017662048,2283.66,468,1
-0.010430833,-0.6757082939147949,0.0061266515,1.1175143,0.0010364816,0.0,-3.92,520192,828.0429246425629,2318.48,470,2
-0.012089711,0.528275191783905,0.0056986064,1.1683874,0.004960177,0.0,-3.91,524288,831.9909543991089,2330.78,471,1
-0.0155896805,0.3377116322517395,0.009134786,1.1503506,0.003054362,0.0,-3.86,528384,835.6299767494202,2358.27,473,2
-0.012813899,0.5492163300514221,0.0070976974,1.0508096,0.0023196174,0.0,-3.83,532480,839.3103477954865,2369.09,474,1
-0.011483358,0.6161174476146698,0.0068407883,1.1276892,0.004847615,0.0,-3.79,536576,842.9634056091309,2385.38,475,1
-0.01104009,0.3922256827354431,0.009510841,1.1070099,0.0021747749,0.0,-3.74,540672,846.8121311664581,2417.18,477,2
-0.012380135,0.2136790156364441,0.006334694,1.1436083,0.00375656,0.0,-3.7,544768,850.5840816497803,2436.57,478,1
-0.014475119,0.5263651907444,0.007447269,1.1515561,0.0050917696,0.0,-3.64,548864,854.1867523193359,2462.46,480,2
-0.013003674,0.5655952394008636,0.0057646795,1.1021477,0.0075936303,0.0,-3.63,552960,857.9536581039429,2474.01,481,1
-0.012863163,0.1004064679145813,0.006890564,1.0623143,0.00446361,0.0,-3.6,557056,861.7561721801758,2507.3,483,2
-0.012248959,0.5298327803611755,0.0050234185,1.0891069,0.0053481436,0.0,-3.58,561152,865.461665391922,2524.97,484,1
-0.015003009,0.5528279840946198,0.006355209,1.1159279,0.0057555963,0.0,-3.61,565248,869.2202591896057,2517.91,485,1
-0.011210485,0.6006337702274323,0.0064260173,1.065889,0.0051082433,0.0,-3.58,569344,872.832005739212,2539.54,487,2
