EpThisIter,EpisodesSoFar,EpLenMean,loss_kl,loss_ent,loss_pol_entpen,loss_vf_loss,EpRewMean,ev_tdlam_before,TimeElapsed,TimestepsSoFar,loss_pol_surr
5,20796,759.83,0.009342536,0.5965175,0.0,0.016032469,1.61,0.8739154040813446,53305.292498111725,14127104,-0.029556999
4,20800,763.78,0.009832157,0.6191552,0.0,0.022108383,1.58,0.7848909199237823,53313.0804977417,14131200,-0.032168932
5,20805,770.74,0.01149563,0.61069286,0.0,0.020249626,1.5,0.8335170298814774,53320.84049773216,14135296,-0.030119674
5,20810,774.69,0.009870668,0.5908439,0.0,0.015980097,1.51,0.89157385379076,53328.38749790192,14139392,-0.02986849
5,20815,771.82,0.010759147,0.5843604,0.0,0.016230572,1.46,0.9050177037715912,53336.00049805641,14143488,-0.030461334
6,20821,767.84,0.00997627,0.59005314,0.0,0.016054887,1.51,0.8640663623809814,53343.53649830818,14147584,-0.02751166
6,20827,762.35,0.010443242,0.5944302,0.0,0.021992836,1.69,0.7809701412916183,53351.012498378754,14151680,-0.031326197
6,20833,765.59,0.010754554,0.62482524,0.0,0.02313875,1.77,0.8440468907356262,53358.60349750519,14155776,-0.03089842
4,20837,770.76,0.010223033,0.5966207,0.0,0.025655704,1.74,0.8008663356304169,53366.363498449326,14159872,-0.030620534
6,20843,779.33,0.009947174,0.613861,0.0,0.021056544,1.7,0.8130514919757843,53374.13449764252,14163968,-0.028916406
6,20849,781.03,0.009807762,0.5837827,0.0,0.014925824,1.82,0.8522996157407761,53381.81949853897,14168064,-0.029902495
5,20854,790.21,0.011165474,0.6269034,0.0,0.019434929,1.84,0.8446431010961533,53389.449498176575,14172160,-0.030807924
6,20860,779.99,0.010477708,0.58675444,0.0,0.017241662,1.89,0.8645012229681015,53397.05649805069,14176256,-0.029569602
6,20866,770.25,0.010324557,0.6011646,0.0,0.01969294,1.83,0.8361315578222275,53404.65449762344,14180352,-0.030711653
6,20872,757.42,0.010205033,0.6099407,0.0,0.021840334,1.85,0.8665030598640442,53412.226497888565,14184448,-0.029508974
5,20877,763.74,0.0100959325,0.61678094,0.0,0.022029603,1.8,0.8289778679609299,53419.74549770355,14188544,-0.029570224
5,20882,759.08,0.010287272,0.59619063,0.0,0.016846312,1.74,0.8702945560216904,53427.38649773598,14192640,-0.028654218
5,20887,761.29,0.011583624,0.61393666,0.0,0.020706955,1.72,0.8262366950511932,53435.35749793053,14196736,-0.030197617
7,20894,752.42,0.010593053,0.59369546,0.0,0.01999269,1.69,0.8598812818527222,53555.74949789047,14200832,-0.029158395
5,20899,744.52,0.0107460795,0.5756733,0.0,0.015658438,1.78,0.8841700926423073,53619.72610497475,14204928,-0.029025009
6,20905,738.97,0.00942698,0.5847772,0.0,0.015656818,1.81,0.8901487961411476,53626.97610497475,14209024,-0.030196162
5,20910,735.5,0.009962031,0.61587226,0.0,0.016119668,1.8,0.8669928759336472,53634.36194562912,14213120,-0.030940393
7,20917,725.88,0.010790513,0.5650125,0.0,0.024069821,1.97,0.843726247549057,53641.56394529343,14217216,-0.028373864
5,20922,731.37,0.009874878,0.59418434,0.0,0.022210589,1.95,0.8697687238454819,53649.32394528389,14221312,-0.030827183
6,20928,730.17,0.01177082,0.619812,0.0,0.018620372,1.79,0.800968587398529,53656.94094491005,14225408,-0.031664062
6,20934,728.68,0.010865,0.6049475,0.0,0.015738241,1.71,0.8432476222515106,53664.40994596481,14229504,-0.030879956
5,20939,722.5,0.011827309,0.6228268,0.0,0.023816172,1.66,0.77876316010952,53671.83894491196,14233600,-0.030065404
6,20945,722.34,0.010190023,0.58475494,0.0,0.016702982,1.63,0.8503636121749878,53679.43794488907,14237696,-0.030910525
6,20951,721.95,0.009834004,0.59849995,0.0,0.015398146,1.58,0.863490954041481,53687.07994580269,14241792,-0.030862063
6,20957,716.3,0.010689143,0.5919002,0.0,0.016613185,1.66,0.8959346041083336,53694.69394493103,14245888,-0.031342186
6,20963,715.45,0.011410112,0.59260225,0.0,0.01935569,1.73,0.8767260164022446,53702.432945013046,14249984,-0.03111782
5,20968,726.04,0.010398023,0.6189964,0.0,0.016970262,1.71,0.8537877202033997,53710.04194569588,14254080,-0.030136649
6,20974,718.02,0.009939817,0.5886905,0.0,0.01655854,1.83,0.8927283138036728,53717.821946144104,14258176,-0.0318949
5,20979,714.47,0.010027491,0.56327635,0.0,0.020581216,1.95,0.8700129836797714,53725.343945264816,14262272,-0.028275339
6,20985,714.45,0.009837941,0.5828385,0.0,0.016734999,1.9,0.8805881291627884,53734.032974243164,14266368,-0.029033624
6,20991,718.42,0.010481204,0.5887901,0.0,0.01799876,1.86,0.8810705691576004,53742.369945049286,14270464,-0.030170597
5,20996,721.28,0.010178921,0.58208483,0.0,0.019795585,1.94,0.8835526928305626,53749.95094513893,14274560,-0.030249413
5,21001,724.0,0.0108390255,0.59117275,0.0,0.016146485,1.89,0.8633122891187668,53757.51294541359,14278656,-0.03005586
6,21007,719.96,0.009545884,0.5785919,0.0,0.015841275,1.93,0.8973717242479324,53765.51494526863,14282752,-0.0309283
5,21012,727.51,0.009628992,0.5888451,0.0,0.015887037,1.98,0.8649734407663345,53773.41494846344,14286848,-0.027240058
5,21017,736.85,0.009757908,0.5924156,0.0,0.02032204,1.91,0.8314192146062851,53781.43394470215,14290944,-0.030020472
6,21023,733.77,0.009073466,0.6110811,0.0,0.015180291,1.86,0.8491173535585403,53789.31994557381,14295040,-0.02878607
5,21028,739.56,0.0122332,0.6057217,0.0,0.018236337,1.93,0.8274119943380356,53797.04894542694,14299136,-0.03151826
5,21033,741.83,0.010121927,0.6061323,0.0,0.014304277,1.89,0.8741316944360733,53917.900945186615,14303232,-0.0304594
6,21039,737.66,0.011077598,0.59155035,0.0,0.015199858,1.92,0.867032378911972,53991.752477645874,14307328,-0.031237502
5,21044,749.49,0.010782429,0.589439,0.0,0.01885215,1.94,0.8265247493982315,53998.98147749901,14311424,-0.029838815
5,21049,745.97,0.010408428,0.5976623,0.0,0.018814705,2.05,0.8529024720191956,54006.67747807503,14315520,-0.030559383
6,21055,743.48,0.009638291,0.57734126,0.0,0.018745985,2.08,0.8425110876560211,54013.89947795868,14319616,-0.028350625
7,21062,738.74,0.01006336,0.57928735,0.0,0.014071896,2.06,0.859284445643425,54021.17047786713,14323712,-0.030894257
5,21067,742.06,0.012048169,0.6118265,0.0,0.018116908,2.05,0.8193345665931702,54029.003479242325,14327808,-0.029775105
6,21073,744.59,0.011270241,0.60007316,0.0,0.01691751,2.02,0.8661750853061676,54036.59547805786,14331904,-0.030988965
6,21079,745.6,0.010447429,0.61501706,0.0,0.019463928,1.82,0.8796298801898956,54044.39647889137,14336000,-0.030560754
6,21085,742.62,0.009969012,0.5754306,0.0,0.017208247,1.88,0.8417840898036957,54051.9174785614,14340096,-0.028650403
5,21090,741.0,0.010024869,0.58335763,0.0,0.017821059,1.9,0.8672669231891632,54059.40647792816,14344192,-0.031201065
5,21095,742.9,0.010713376,0.58815444,0.0,0.019674389,1.84,0.8371496051549911,54067.01847863197,14348288,-0.032028418
5,21100,747.38,0.01090956,0.58770746,0.0,0.019836435,1.86,0.7979785054922104,54074.65047836304,14352384,-0.031468347
6,21106,743.91,0.010113904,0.6045305,0.0,0.017860807,1.91,0.8590125739574432,54082.15847802162,14356480,-0.03171852
5,21111,743.0,0.009397087,0.60095894,0.0,0.01791254,1.9,0.8468329310417175,54089.945477962494,14360576,-0.030574886
5,21116,744.09,0.00922874,0.5833043,0.0,0.017811522,1.89,0.8423722386360168,54097.82247853279,14364672,-0.031290445
6,21122,738.5,0.009755252,0.5906219,0.0,0.018501764,1.99,0.8420737087726593,54105.482477903366,14368768,-0.030543078
6,21128,731.84,0.008879725,0.5899425,0.0,0.018550765,2.12,0.8648735731840134,54113.10347819328,14372864,-0.026891658
6,21134,734.77,0.008799574,0.60693276,0.0,0.019820288,2.04,0.7762790024280548,54120.981478214264,14376960,-0.03035867
5,21139,743.23,0.008865981,0.59957886,0.0,0.018022083,2.05,0.814918726682663,54128.56847810745,14381056,-0.031178406
5,21144,734.22,0.010438987,0.58832884,0.0,0.020752965,2.02,0.8415576368570328,54136.19347810745,14385152,-0.029623598
5,21149,739.78,0.010976045,0.6113488,0.0,0.018054567,1.96,0.793763130903244,54143.636477947235,14389248,-0.033237845
5,21154,744.21,0.010609988,0.6088745,0.0,0.018643547,1.92,0.8618293255567551,54151.09547805786,14393344,-0.029625524
5,21159,756.08,0.0118915485,0.590575,0.0,0.019475438,1.86,0.8532807677984238,54159.00047874451,14397440,-0.032274254
5,21164,765.16,0.009480741,0.5897427,0.0,0.02173082,1.86,0.8239572644233704,54282.35747766495,14401536,-0.030454876
5,21169,765.28,0.010342618,0.5995691,0.0,0.019023513,1.77,0.8267630040645599,54346.483077287674,14405632,-0.03113753
6,21175,765.81,0.009777018,0.5821852,0.0,0.0177805,1.77,0.8788535743951797,54353.90510559082,14409728,-0.030150464
6,21181,757.41,0.010232377,0.57682866,0.0,0.016382596,1.94,0.8398995101451874,54361.3000767231,14413824,-0.031129614
5,21186,765.84,0.0113330735,0.60936826,0.0,0.02762769,1.81,0.8122860193252563,54368.502079963684,14417920,-0.031833604
7,21193,755.58,0.009731126,0.5586731,0.0,0.015316636,1.97,0.8729908019304276,54376.283076524734,14422016,-0.026934221
5,21198,756.45,0.010558527,0.6011532,0.0,0.019420214,1.87,0.8086526542901993,54383.861077308655,14426112,-0.03224637
5,21203,752.55,0.011213548,0.59418875,0.0,0.019809527,1.93,0.847793236374855,54392.01407766342,14430208,-0.030340577
6,21209,748.57,0.009017591,0.57541585,0.0,0.01707582,1.95,0.857328325510025,54400.11507797241,14434304,-0.027925491
6,21215,745.69,0.010312971,0.5979886,0.0,0.015438189,1.92,0.8804186657071114,54407.675077199936,14438400,-0.031716786
5,21220,748.63,0.009660824,0.6040337,0.0,0.015119334,1.76,0.8660434186458588,54415.33607697487,14442496,-0.028919196
5,21225,759.16,0.009983741,0.611766,0.0,0.021216275,1.69,0.8659590631723404,54423.14607858658,14446592,-0.029838184
5,21230,763.35,0.0096469335,0.57372516,0.0,0.019446895,1.69,0.8561324328184128,54430.63707733154,14450688,-0.030499555
5,21235,768.12,0.010212145,0.59113634,0.0,0.022029182,1.62,0.8179778605699539,54438.487077236176,14454784,-0.030666929
6,21241,761.45,0.009651606,0.563754,0.0,0.017211445,1.73,0.8333982080221176,54446.135076761246,14458880,-0.03034388
5,21246,765.03,0.010343204,0.58579093,0.0,0.018742643,1.65,0.8595234900712967,54453.675077438354,14462976,-0.03179991
6,21252,753.35,0.01029965,0.58787644,0.0,0.019891668,1.7,0.8320873528718948,54461.208077430725,14467072,-0.028449498
5,21257,756.19,0.010379767,0.6087446,0.0,0.019020006,1.6,0.8092635422945023,54468.750589847565,14471168,-0.030096043
5,21262,753.31,0.011441929,0.60553116,0.0,0.022709083,1.63,0.8380130231380463,54476.413590192795,14475264,-0.030040614
6,21268,751.24,0.010733018,0.5688794,0.0,0.014858071,1.67,0.8557351529598236,54484.060589790344,14479360,-0.029713694
6,21274,743.36,0.009380734,0.5830617,0.0,0.016271899,1.79,0.8613281548023224,54491.82658982277,14483456,-0.028913297
4,21278,753.75,0.010202159,0.5886829,0.0,0.020989373,1.73,0.7956070005893707,54499.40058922768,14487552,-0.029925618
5,21283,761.9,0.01048518,0.6135536,0.0,0.020737974,1.6,0.8246440887451172,54507.165588617325,14491648,-0.029465588
5,21288,766.41,0.010720787,0.58357435,0.0,0.021700324,1.58,0.8261298537254333,54514.6695895195,14495744,-0.02971054
6,21294,769.02,0.009860382,0.5574591,0.0,0.016001245,1.56,0.8377978801727295,54522.20158910751,14499840,-0.02816534
6,21300,762.75,0.010361259,0.57497627,0.0,0.016419133,1.73,0.868783488869667,54644.21058988571,14503936,-0.029910047
5,21305,762.07,0.01053239,0.58030534,0.0,0.021507705,1.71,0.8503792434930801,54708.26517224312,14508032,-0.03170727
5,21310,771.37,0.010909659,0.60431606,0.0,0.015210841,1.64,0.8344027996063232,54715.545172691345,14512128,-0.031544723
