EpLenMean,EpRewMean,loss_pol_surr,loss_kl,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_ent,loss_pol_entpen,TimestepsSoFar
1184.08,-4.77,-0.015816635,0.007823255,0.4485046863555908,2,361,0.0070118257,1256.7449624538422,1.2548757,0.0,290816
1217.15,-4.76,-0.012890961,0.005573254,0.599490761756897,3,364,0.011511449,1260.5042126178741,1.2198344,0.0,294912
1224.96,-4.76,-0.016281238,0.0042901784,0.6128579080104828,2,366,0.011280366,1264.265169620514,1.2864163,0.0,299008
1272.0,-4.76,-0.013423115,0.0071998234,0.530918300151825,1,367,0.007458654,2452.5831332206726,1.2980907,0.0,303104
1297.17,-4.76,-0.017310789,0.0064961496,0.5334903001785278,2,369,0.010575329,2456.481077194214,1.2859721,0.0,307200
1319.4,-4.73,-0.013240699,0.0063453894,0.5259375870227814,1,370,0.007944937,2460.339709043503,1.2571633,0.0,311296
1344.5,-4.73,-0.0133759305,0.0067784917,0.5385207831859589,2,372,0.0069488725,2464.1163523197174,1.2379378,0.0,315392
1368.94,-4.71,-0.011975942,0.0061365175,0.5383548736572266,1,373,0.005596747,2468.088319540024,1.3248166,0.0,319488
1416.74,-4.65,-0.013418144,0.0076324455,0.5818867385387421,2,375,0.0018589903,2472.0484380722046,1.3148732,0.0,323584
1438.94,-4.64,-0.009003598,0.008175494,0.3668779730796814,1,376,0.0070385356,2476.232727766037,1.306444,0.0,327680
1461.33,-4.64,-0.01084347,0.006068181,0.18819373846054077,1,377,0.004476633,2480.0759332180023,1.1690657,0.0,331776
1496.16,-4.6,-0.013430208,0.008539056,0.5336484014987946,2,379,0.0061649773,2483.934160232544,1.3079925,0.0,335872
1530.09,-4.58,-0.013315034,0.008447133,0.5304406583309174,2,381,0.0077561135,2487.697675228119,1.1302943,0.0,339968
1551.85,-4.55,-0.01412422,0.0071857143,0.3889121413230896,1,382,0.002788691,2491.5118906497955,1.1802434,0.0,344064
1567.32,-4.52,-0.01509353,0.008383814,0.6107093691825867,1,383,0.0022015423,2495.428283214569,1.301497,0.0,348160
1611.26,-4.48,-0.014984088,0.006535678,0.6781483292579651,2,385,0.004985552,2499.183531999588,1.242921,0.0,352256
1621.8,-4.5,-0.013410172,0.008471554,0.5143792629241943,2,387,0.010604331,2502.935091495514,1.2652829,0.0,356352
1660.95,-4.44,-0.011152985,0.006329708,0.3642011880874634,2,389,0.003162714,2507.014482498169,1.2394495,0.0,360448
1682.32,-4.42,-0.011153812,0.0069678444,0.566751629114151,1,390,0.003524051,2511.183418035507,1.1897976,0.0,364544
1703.1,-4.39,-0.01218677,0.0058715483,0.5252144038677216,1,391,0.0022260246,2515.350129842758,1.1455398,0.0,368640
1751.37,-4.32,-0.009741293,0.014673029,0.4405224323272705,2,393,0.0040245624,2519.5173914432526,1.2098808,0.0,372736
1767.66,-4.32,-0.012915416,0.009501755,0.418401837348938,1,394,0.0072639333,2523.689574956894,1.1493059,0.0,376832
1805.08,-4.27,-0.013279044,0.008327431,0.507291167974472,2,396,0.012787561,2527.8570082187653,1.0538658,0.0,380928
1826.63,-4.26,-0.015554492,0.0077500255,0.5811911821365356,1,397,0.005835789,2532.0321543216705,1.1540754,0.0,385024
1862.88,-4.21,-0.014678829,0.008347747,0.4205157160758972,2,399,0.0059146597,2536.198698759079,1.1351528,0.0,389120
1887.2,-4.18,-0.012192118,0.007717203,0.4801061153411865,1,400,0.0065416996,2540.3789207935333,1.1498876,0.0,393216
1932.9,-4.13,-0.011696817,0.0049610455,0.7101757526397705,2,402,0.0037140436,2544.548876285553,1.2030883,0.0,397312
1932.9,-4.13,-0.014828329,0.0060088006,0.5623091757297516,0,402,0.007601416,4188.363101482391,1.0667343,0.0,401408
1973.91,-4.13,-0.011477713,0.0068221292,0.4605037569999695,1,403,0.005186321,4192.136638402939,1.0953709,0.0,405504
2012.5,-4.08,-0.011757264,0.0078436015,0.5831222534179688,2,405,0.002827496,4195.907040834427,1.0659243,0.0,409600
2030.77,-4.04,-0.01419964,0.0068918574,0.4808579087257385,1,406,0.0051422818,4199.659818887711,1.1035328,0.0,413696
2059.34,-4.03,-0.015137295,0.0056235776,0.5393832921981812,2,408,0.011516861,4203.415543079376,1.079887,0.0,417792
2076.64,-4.03,-0.010419139,0.009369151,0.5913473963737488,1,409,0.0046933335,4207.162863492966,1.0749098,0.0,421888
