EpLenMean,EpRewMean,loss_pol_surr,loss_kl,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_ent,loss_pol_entpen,TimestepsSoFar
3030.0,-0.34,-0.0053882264,0.0021953508,0.6586253345012665,2,1892,0.0018177159,32751.248336553574,0.9967169,0.0,2433024
3030.0,-0.35,-0.009941777,0.002665516,-0.1556471586227417,1,1893,0.00019194807,32754.992854833603,0.93391234,0.0,2437120
3030.0,-0.34,-0.009978497,0.0031438514,0.3143911361694336,1,1894,0.0027303149,32758.73989391327,1.0427171,0.0,2441216
3030.0,-0.37,-0.00792609,0.0025762038,0.4490433931350708,2,1896,0.00082677306,32762.481793165207,0.9829787,0.0,2445312
3030.0,-0.37,-0.009630756,0.0031562631,0.6818852126598358,1,1897,0.002111403,32766.222733020782,1.0533845,0.0,2449408
3030.0,-0.37,-0.0080789365,0.0024629782,0.45293575525283813,1,1898,0.0015404581,32770.15618181229,1.0529364,0.0,2453504
3030.0,-0.36,-0.009526866,0.0022309143,0.7007787525653839,2,1900,0.0005128456,32774.134196043015,1.0215514,0.0,2457600
3030.0,-0.35,-0.010931527,0.0032239049,0.634210616350174,1,1901,0.0018087884,32777.86997961998,1.036656,0.0,2461696
3030.0,-0.35,-0.010503782,0.0026331292,-3.5474205017089844,1,1902,9.2950744e-05,32781.59314894676,1.1252986,0.0,2465792
3030.0,-0.35,-0.012639871,0.0023492542,0.025860905647277832,2,1904,7.37612e-05,32785.603118896484,1.0840119,0.0,2469888
3030.0,-0.36,-0.010466542,0.004035413,-0.5095325708389282,1,1905,7.3464216e-05,32789.60219144821,1.0407444,0.0,2473984
3030.0,-0.36,-0.00809722,0.002592783,0.48391038179397583,2,1907,0.00067328475,32793.4828517437,0.99662375,0.0,2478080
3030.0,-0.37,-0.008329356,0.0049370453,0.41922181844711304,1,1908,0.004423547,32797.30833363533,1.0939615,0.0,2482176
3030.0,-0.39,-0.008912766,0.003147342,-0.866309642791748,1,1909,0.00016098781,32801.037424087524,1.067378,0.0,2486272
3030.0,-0.35,-0.004861338,0.0017896969,0.37353450059890747,2,1911,0.0007115565,32804.77336859703,1.017919,0.0,2490368
3030.0,-0.35,-0.01108738,0.0025645508,-0.30242371559143066,1,1912,9.323166e-05,32808.7995929718,0.9979146,0.0,2494464
3030.0,-0.34,-0.012255163,0.0026014508,-1.1953942775726318,1,1913,3.836826e-05,32812.8564620018,1.0587521,0.0,2498560
3030.0,-0.32,-0.0035407578,0.0017562034,0.1720936894416809,1,1914,0.0006102918,34820.02919816971,1.0413735,0.0,2502656
3030.0,-0.36,-0.0071879253,0.002437668,0.530460923910141,2,1916,0.0013105107,34824.16258883476,1.0453769,0.0,2506752
3030.0,-0.39,-0.006365404,0.002063172,0.1437622308731079,1,1917,0.00039384444,34828.32399868965,0.94627804,0.0,2510848
3030.0,-0.39,-0.007848487,0.00307914,0.5317481756210327,1,1918,0.0006270571,34832.45216488838,1.0341593,0.0,2514944
3030.0,-0.38,-0.0055376794,0.0036670694,0.17163240909576416,2,1920,0.0015517217,34836.58157491684,1.0026727,0.0,2519040
3030.0,-0.37,-0.0117450245,0.0027497385,0.5869938731193542,1,1921,0.003370239,34840.713057518005,0.99302536,0.0,2523136
3030.0,-0.37,-0.010698626,0.002471341,0.0849381685256958,2,1923,0.0016658497,34844.84662151337,0.9830385,0.0,2527232
3030.0,-0.36,-0.008963887,0.003257836,0.38780683279037476,1,1924,0.00047865222,34848.975746393204,1.0657315,0.0,2531328
3030.0,-0.33,-0.010237173,0.0026266829,-1.3023076057434082,1,1925,8.505155e-05,34853.10491728783,1.0129949,0.0,2535424
3030.0,-0.35,-0.008418158,0.002427142,0.5916846096515656,2,1927,0.0019618503,34857.22889089584,1.009804,0.0,2539520
3030.0,-0.33,-0.0060537998,0.002619111,0.565237820148468,1,1928,0.0006819919,34861.35410165787,0.94191635,0.0,2543616
3030.0,-0.35,-0.0067489482,0.0026710457,0.005065202713012695,1,1929,0.0013802339,34865.479722738266,1.0609521,0.0,2547712
3030.0,-0.33,-0.009944863,0.0028723585,0.5730780959129333,2,1931,0.0009932447,34869.60880613327,1.0361341,0.0,2551808
3030.0,-0.31,-0.008914207,0.00278048,0.1935957670211792,1,1932,0.0040915385,34873.73826098442,0.9128902,0.0,2555904
3030.0,-0.32,-0.011670644,0.00237115,-1.543705701828003,2,1934,0.00019221914,34877.79359507561,0.963131,0.0,2560000
3030.0,-0.31,-0.0114142485,0.002163104,-0.1137990951538086,1,1935,0.0001085886,34881.722397089005,0.99323875,0.0,2564096
