EpisodesSoFar,loss_vf_loss,EpLenMean,EpThisIter,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpRewMean
2474,0.0011443164,3030.0,1,0.003472828,0.0037097412,0.0,4771840,21516.385421037674,0.26764434576034546,0.6704877,-0.08
2476,2.9534871e-05,3030.0,2,0.0038902506,0.009733419,0.0,4775936,21523.790272712708,0.15520614385604858,0.66351795,-0.07
2477,0.0011118492,3030.0,1,0.0038813108,0.004749202,0.0,4780032,21531.200996637344,0.7424707114696503,0.6407139,-0.06
2479,4.1841427e-05,3030.0,2,0.0036504297,0.0072253193,0.0,4784128,21538.59320783615,-0.4370143413543701,0.6627943,-0.08
2480,1.8526558e-05,3030.0,1,0.0036770545,0.009740525,0.0,4788224,21546.160994529724,-0.1247413158416748,0.65939975,-0.07
2481,0.0017562723,3030.0,1,0.0039059562,0.0037627362,0.0,4792320,21553.54952430725,0.4773368835449219,0.65682113,-0.08
2483,0.0002535444,3030.0,2,0.003027157,0.0035922453,0.0,4796416,21561.232931613922,-1.1821887493133545,0.6312719,-0.06
2484,1.7349903e-05,3030.0,1,0.003025538,0.008217745,0.0,4800512,21904.417592525482,-0.1543198823928833,0.6326085,-0.06
2485,0.0026425268,3040.0,1,0.0032770971,0.002312714,0.0,4804608,21911.89230942726,0.4051656723022461,0.62302536,-0.06
2486,4.2296913e-05,3030.0,1,0.003784156,0.006721,0.0,4808704,21919.197115182877,-1.4018347263336182,0.6806567,-0.06
2488,0.0037226253,3030.0,2,0.0033213783,0.0029833582,0.0,4812800,21926.498244524002,0.34161871671676636,0.6472538,-0.04
2489,8.606641e-05,3030.0,1,0.0032122028,0.007465983,0.0,4816896,21933.875764131546,-0.08544707298278809,0.6478784,-0.04
2490,0.00022443198,3030.0,1,0.0032560118,0.0040148785,0.0,4820992,21941.38140273094,-1.0897095203399658,0.6355019,-0.04
2492,0.00014488792,3030.0,2,0.003155117,0.0053708707,0.0,4825088,21948.777205467224,-0.03934752941131592,0.6318142,-0.04
2493,0.003324638,3030.0,1,0.0038095056,0.0019206586,0.0,4829184,21956.240713834763,0.5701607465744019,0.64215755,-0.05
