loss_pol_surr,TimestepsSoFar,loss_kl,EpThisIter,EpLenMean,loss_pol_entpen,loss_ent,EpisodesSoFar,EpRewMean,TimeElapsed,loss_vf_loss,ev_tdlam_before
-0.03791255,13299712,0.022825582,2,1953.12,0.0,0.529425,13321,-0.67,21326.9687435627,0.010313785,0.7765875309705734
-0.037023265,13303808,0.022179179,2,1957.36,0.0,0.49955007,13323,-0.65,21352.93273305893,0.009823638,0.6981664001941681
-0.037714,13307904,0.021663114,2,1952.45,0.0,0.5242872,13325,-0.63,21357.921541929245,0.010420857,0.788008451461792
-0.03692343,13312000,0.023190035,3,1937.91,0.0,0.5253209,13328,-0.59,21362.704542160034,0.020439552,0.7342796325683594
-0.040059846,13316096,0.023448575,2,1943.36,0.0,0.52701366,13330,-0.56,21367.588437080383,0.014234503,0.6605377197265625
-0.03887825,13320192,0.02215132,3,1928.52,0.0,0.52802634,13333,-0.54,21373.25239801407,0.013380879,0.7361018359661102
-0.037777472,13324288,0.02143799,2,1932.06,0.0,0.5195889,13335,-0.63,21379.04642868042,0.0126672825,0.7153359949588776
-0.039611038,13328384,0.021874778,3,1922.29,0.0,0.53635997,13338,-0.54,21385.226609945297,0.012254766,0.7392224669456482
-0.036594912,13332480,0.022743601,2,1921.5,0.0,0.52187955,13340,-0.54,21390.811655521393,0.010946182,0.6777763962745667
-0.03658857,13336576,0.018683244,2,1904.42,0.0,0.50380594,13342,-0.58,21395.782422065735,0.011578865,0.8065377771854401
-0.035668977,13340672,0.023178123,3,1894.98,0.0,0.5016899,13345,-0.56,21400.815898180008,0.0108566405,0.7910660654306412
-0.037837647,13344768,0.019803768,3,1873.6,0.0,0.5070506,13348,-0.51,21405.602843284607,0.01163987,0.7648412585258484
-0.033208445,13348864,0.019538574,2,1864.52,0.0,0.506153,13350,-0.5,21410.386532068253,0.0128638875,0.7262969613075256
-0.0376406,13352960,0.023658546,3,1869.34,0.0,0.501544,13353,-0.5,21415.23828125,0.012283218,0.7308189570903778
-0.04333314,13357056,0.026711712,2,1851.69,0.0,0.5148129,13355,-0.6,21420.29419350624,0.012013681,0.7391813695430756
-0.040150948,13361152,0.024133572,2,1866.6,0.0,0.5127559,13357,-0.48,21425.83753657341,0.007915453,0.7255640029907227
-0.03878577,13365248,0.019672383,2,1882.27,0.0,0.50093704,13359,-0.39,21430.707545757294,0.009729801,0.6919243037700653
-0.037874207,13369344,0.023654846,2,1894.84,0.0,0.5154702,13361,-0.32,21436.457646131516,0.009747081,0.6724726855754852
-0.040512335,13373440,0.02371554,2,1906.71,0.0,0.5109377,13363,-0.33,21442.763279914856,0.012198437,0.7421344220638275
-0.03795223,13377536,0.021166991,3,1911.06,0.0,0.5327996,13366,-0.32,21448.847958803177,0.010850489,0.7152376174926758
-0.036788695,13381632,0.020197568,1,1925.05,0.0,0.51764756,13367,-0.39,21454.07709145546,0.007279315,0.7462193071842194
-0.03767286,13385728,0.023147097,2,1912.33,0.0,0.5259516,13369,-0.46,21458.876777648926,0.008392543,0.7713215053081512
-0.03840554,13389824,0.024463039,3,1911.4,0.0,0.52122587,13372,-0.41,21463.662076234818,0.01243637,0.7475315034389496
-0.035467774,13393920,0.021830225,1,1903.09,0.0,0.5460426,13373,-0.42,21468.849794864655,0.011895783,0.5905593931674957
-0.038680863,13398016,0.02605434,3,1911.05,0.0,0.53827703,13376,-0.34,21473.656183958054,0.010992748,0.6658855974674225
-0.03581199,13402112,0.020551233,1,1913.03,0.0,0.5283027,13377,-0.35,21496.955165863037,0.008941523,0.7562961131334305
-0.038579345,13406208,0.022159316,3,1933.55,0.0,0.53300756,13380,-0.25,21501.94134068489,0.012389148,0.6896317005157471
-0.039056674,13410304,0.024366535,1,1929.3,0.0,0.54156995,13381,-0.19,21507.62157893181,0.009579196,0.6282373368740082
-0.033844423,13414400,0.02162493,2,1943.15,0.0,0.52548814,13383,-0.09,21513.72934436798,0.009894927,0.6543008685112
-0.033460453,13418496,0.023114234,3,1938.29,0.0,0.52696306,13386,-0.05,21519.63038611412,0.011107986,0.7576415091753006
-0.038351778,13422592,0.023085566,2,1934.94,0.0,0.5241654,13388,0.03,21525.417604207993,0.008449971,0.7199693322181702
-0.03544178,13426688,0.021476042,2,1934.46,0.0,0.51959336,13390,0.06,21531.134609222412,0.0074899103,0.7205141484737396
-0.035369508,13430784,0.023164269,3,1921.62,0.0,0.5237135,13393,0.07,21536.561305761337,0.013416955,0.7095841765403748
-0.038101252,13434880,0.022962932,2,1917.25,0.0,0.5280508,13395,0.1,21542.115993261337,0.011859202,0.75423164665699
-0.04234514,13438976,0.025194364,2,1920.46,0.0,0.5491174,13397,0.11,21546.901969194412,0.009746696,0.7001146376132965
-0.036937375,13443072,0.022953037,1,1920.46,0.0,0.53748435,13398,0.09,21551.770676374435,0.007611714,0.6886594593524933
-0.03968888,13447168,0.024080586,2,1910.77,0.0,0.52812153,13400,0.1,21556.84995818138,0.009969651,0.6953363716602325
-0.034319818,13451264,0.018915044,1,1909.13,0.0,0.5276281,13401,0.06,21561.642577409744,0.008659213,0.637614518404007
-0.03734677,13455360,0.02135734,3,1909.4,0.0,0.528496,13404,0.05,21566.54700946808,0.010001629,0.4966789484024048
-0.03880461,13459456,0.023158472,2,1895.83,0.0,0.524821,13406,0.13,21571.677451848984,0.0074568675,0.7235394418239594
-0.03945633,13463552,0.025523057,2,1909.11,0.0,0.5509281,13408,0.1,21577.471585035324,0.009041806,0.7696165442466736
-0.038060438,13467648,0.024712102,2,1899.97,0.0,0.52061087,13410,0.19,21583.41471505165,0.008701582,0.712311863899231
-0.039013498,13471744,0.023398943,3,1886.12,0.0,0.5114475,13413,0.25,21589.03049015999,0.012478389,0.719973087310791
-0.03669293,13475840,0.02570136,3,1867.94,0.0,0.49815997,13416,0.43,21594.77441096306,0.009041215,0.6889593005180359
-0.039872702,13479936,0.023941869,2,1868.84,0.0,0.5193034,13418,0.4,21599.806050300598,0.010526754,0.7145561277866364
-0.03843003,13484032,0.02304369,2,1861.99,0.0,0.5154934,13420,0.41,21604.623528957367,0.010877824,0.6853330135345459
-0.036914006,13488128,0.02234243,2,1864.11,0.0,0.5105003,13422,0.43,21609.42424249649,0.009502611,0.6447852551937103
-0.03641618,13492224,0.02294827,2,1863.21,0.0,0.49074885,13424,0.49,21614.224135398865,0.007841214,0.7478279173374176
-0.041437685,13496320,0.028657388,3,1861.81,0.0,0.51443374,13427,0.54,21619.831650972366,0.011138915,0.7844104468822479
-0.035506837,13500416,0.023731431,1,1870.78,0.0,0.5155742,13428,0.53,21646.754969358444,0.010103833,0.6595779061317444
-0.038651858,13504512,0.022565288,2,1890.43,0.0,0.54032415,13430,0.53,21652.36215877533,0.009540869,0.6751903295516968
-0.036745053,13508608,0.020847442,2,1906.59,0.0,0.49625504,13432,0.61,21657.16172361374,0.011018384,0.6274378597736359
-0.036213707,13512704,0.022684027,1,1913.42,0.0,0.5117468,13433,0.61,21662.018525362015,0.008094459,0.7079128324985504
-0.038187325,13516800,0.026105845,2,1928.8,0.0,0.5389502,13435,0.72,21666.800377368927,0.00838637,0.5509653687477112
-0.035718527,13520896,0.02210116,1,1940.28,0.0,0.52846724,13436,0.69,21671.600620508194,0.013452602,0.5361115634441376
-0.03298066,13524992,0.021044377,2,1958.0,0.0,0.48115426,13438,0.66,21677.343548059464,0.0071144444,0.6037788689136505
-0.03605934,13529088,0.022407463,2,1969.17,0.0,0.529676,13440,0.68,21683.115142822266,0.010059546,0.5769309401512146
-0.04195779,13533184,0.02830086,1,1977.27,0.0,0.5328933,13441,0.69,21689.528856515884,0.009960463,0.5123936533927917
-0.038549952,13537280,0.023228424,3,1982.94,0.0,0.5131732,13444,0.66,21695.27348423004,0.00995133,0.664099246263504
-0.03766892,13541376,0.020115986,2,1996.83,0.0,0.5132206,13446,0.52,21701.171154260635,0.009754202,0.7088835537433624
-0.037614964,13545472,0.020332169,2,2003.09,0.0,0.50536877,13448,0.55,21706.727781295776,0.015427534,0.7302418351173401
-0.03949223,13549568,0.02212132,2,2007.49,0.0,0.52591306,13450,0.59,21712.238064050674,0.0118292235,0.7322536408901215
-0.03845381,13553664,0.022667939,2,2023.1,0.0,0.503979,13452,0.5,21717.118198633194,0.009655311,0.606595516204834
-0.03886864,13557760,0.021391101,1,2028.94,0.0,0.5179747,13453,0.56,21721.938179969788,0.008163442,0.6356779634952545
-0.037351146,13561856,0.020871794,2,2045.48,0.0,0.5519118,13455,0.54,21726.726833581924,0.009800801,0.686788022518158
-0.035669524,13565952,0.0238836,2,2049.44,0.0,0.54121757,13457,0.52,21731.5136988163,0.011118291,0.540540486574173
-0.038686473,13570048,0.023215361,1,2053.01,0.0,0.5254951,13458,0.54,21736.38972592354,0.00853826,0.5505770742893219
-0.035556752,13574144,0.019979812,2,2068.93,0.0,0.51809824,13460,0.53,21741.24342775345,0.00814418,0.48729103803634644
-0.037370976,13578240,0.022336612,2,2077.87,0.0,0.52589446,13462,0.5,21746.078139781952,0.007515281,0.6763032376766205
-0.03587024,13582336,0.022331823,1,2090.2,0.0,0.5154436,13463,0.46,21750.968601465225,0.007887182,0.6573565602302551
-0.038419385,13586432,0.019322515,2,2101.13,0.0,0.53025395,13465,0.47,21756.748118162155,0.010951835,0.7322826981544495
-0.036546778,13590528,0.021770943,1,2109.08,0.0,0.5041862,13466,0.5,21762.57261657715,0.011568805,0.6780363619327545
-0.036998015,13594624,0.022569038,2,2117.27,0.0,0.5207124,13468,0.5,21768.479206323624,0.013281391,0.49701446294784546
-0.039063226,13598720,0.025845045,2,2119.72,0.0,0.5275543,13470,0.57,21774.353394269943,0.009620615,0.6038640737533569
-0.036717117,13602816,0.023366984,1,2150.34,0.0,0.52426773,13471,0.53,21800.59303665161,0.009530208,0.5863702297210693
-0.038185474,13606912,0.022461101,2,2135.35,0.0,0.5009225,13473,0.61,21805.37882757187,0.00836947,0.7018829584121704
-0.038732648,13611008,0.022944791,2,2131.5,0.0,0.5569674,13475,0.6,21810.15519952774,0.009880783,0.6286818385124207
