loss_kl,loss_vf_loss,loss_pol_entpen,EpRewMean,EpThisIter,TimestepsSoFar,EpisodesSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpLenMean,loss_pol_surr
0.005465786,0.013444361,0.0,-4.79,7,98304,156,90.24132061004639,0.8296589851379395,1.8104404,646.57,-0.011761396
0.0076186485,0.014894854,0.0,-4.78,7,102400,163,93.81583833694458,0.8183422237634659,1.7772608,647.04,-0.0125119295
0.0073183323,0.014996151,0.0,-4.77,7,106496,170,97.46113061904907,0.8024534285068512,1.7321804,634.97,-0.011364786
0.006984276,0.015035734,0.0,-4.78,6,110592,176,101.0125617980957,0.8340872079133987,1.7268472,637.02,-0.015721466
0.008239976,0.012551834,0.0,-4.81,6,114688,182,104.67176461219788,0.8356429487466812,1.707002,633.57,-0.01376792
0.00708105,0.016111467,0.0,-4.86,6,118784,188,108.40732216835022,0.7699441164731979,1.682619,632.34,-0.0146624865
0.0069079394,0.01493132,0.0,-4.87,7,122880,195,112.01322603225708,0.7610935121774673,1.6413996,630.44,-0.013917142
0.0058038896,0.011753816,0.0,-4.86,7,126976,202,115.56527137756348,0.829216718673706,1.6254759,623.25,-0.013988227
0.005600644,0.014904412,0.0,-4.87,5,131072,207,119.65730857849121,0.7480031549930573,1.6354699,628.56,-0.014299406
0.007729643,0.015082571,0.0,-4.86,5,135168,212,124.77337574958801,0.7822735160589218,1.6308677,630.74,-0.016659038
0.0048451424,0.012197939,0.0,-4.86,7,139264,219,129.11716270446777,0.8299060463905334,1.633423,636.4,-0.015695015
0.005912715,0.0096338745,0.0,-4.85,6,143360,225,133.4510042667389,0.8186255246400833,1.6334434,637.9,-0.014069976
0.00543482,0.011495805,0.0,-4.85,6,147456,231,137.97827219963074,0.8380420506000519,1.6049291,643.77,-0.012952038
0.0071957796,0.011846407,0.0,-4.85,6,151552,237,142.25420808792114,0.8018764406442642,1.5472459,643.68,-0.012791357
0.005564401,0.009579905,0.0,-4.86,6,155648,243,146.4405460357666,0.8664454519748688,1.5539316,649.29,-0.013517599
0.008397078,0.012179069,0.0,-4.86,7,159744,250,150.73128509521484,0.8239759057760239,1.5044277,650.33,-0.013646921
0.0065394673,0.011222969,0.0,-4.87,7,163840,257,155.0712103843689,0.8414678871631622,1.4945596,653.75,-0.011553961
0.0056050145,0.011490794,0.0,-4.88,6,167936,263,158.79421710968018,0.8234401941299438,1.5466422,653.96,-0.01542829
0.0062287278,0.012835314,0.0,-4.89,6,172032,269,162.38242411613464,0.8321231454610825,1.4989371,654.79,-0.015015764
0.0067005265,0.010674963,0.0,-4.89,6,176128,275,165.83716082572937,0.8038190454244614,1.4689159,656.44,-0.016202137
0.0061003705,0.011221366,0.0,-4.89,7,180224,282,169.40393590927124,0.8396787047386169,1.4452368,658.07,-0.012773345
