nupdates,value_loss,explained_variance,total_timesteps,fps,policy_entropy,ep_reward_mean,ep_len_mean
4500,0.0006139707984402776,-6.544238567352295,22500,779,2.033782482147217,0.2857142857142857,631.6285714285714
4600,0.00025168806314468384,-9.514915466308594,23000,780,2.0679256916046143,0.2222222222222222,631.9166666666666
4700,0.012570741586387157,-33.30813217163086,23500,780,1.9777904748916626,0.16216216216216217,633.4864864864865
4800,0.0006533143459819257,-10.177409172058105,24000,781,2.0484890937805176,0.16216216216216217,633.4864864864865
4900,0.00016075969324447215,-80.50505065917969,24500,781,2.0629143714904785,0.23684210526315788,633.8684210526316
5000,0.00241153035312891,-1.2136359214782715,25000,781,2.0434391498565674,0.2564102564102564,638.0
5100,0.0018745267298072577,-503.6529846191406,25500,782,2.04263973236084,0.2564102564102564,638.0
5200,0.00408524926751852,-25.56886863708496,26000,781,2.0635390281677246,0.225,642.0
5300,0.0007301250589080155,-3.14774227142334,26500,781,1.9905704259872437,0.12195121951219512,640.1951219512196
5400,0.0007440517656505108,-6.788134574890137,27000,781,2.019502878189087,0.12195121951219512,640.1951219512196
5500,9.518601291347295e-05,-0.16402804851531982,27500,781,2.004591464996338,0.14285714285714285,645.1428571428571
5600,0.003184814006090164,-684.6035766601562,28000,781,2.071596622467041,0.023255813953488372,639.7906976744187
5700,0.003734483616426587,-2.69744873046875,28500,782,2.0655205249786377,0.09090909090909091,637.8636363636364
5800,0.05697369575500488,-361.95819091796875,29000,782,2.045811176300049,0.1111111111111111,639.4888888888889
5900,0.0007535568438470364,-25.729434967041016,29500,782,2.0679945945739746,0.17391304347826086,638.9130434782609
6000,5.7949451729655266e-05,-41.49367904663086,30000,782,2.0654296875,0.17391304347826086,638.9130434782609
6100,0.001707863062620163,-19.307279586791992,30500,782,2.0520224571228027,0.1276595744680851,639.5957446808511
6200,0.0015910777729004622,-108.35204315185547,31000,782,2.0437636375427246,0.08333333333333333,640.5625
6300,0.0009818380931392312,-4.323434352874756,31500,782,2.0447921752929688,0.10204081632653061,642.0204081632653
6400,0.0003969398676417768,0.24290019273757935,32000,783,2.031881332397461,0.10204081632653061,642.0204081632653
6500,0.21348245441913605,-32774.609375,32500,782,2.0484566688537598,0.08,643.5
6600,0.003754380624741316,-6.719382286071777,33000,783,2.0723092555999756,0.0196078431372549,641.6274509803922
6700,0.0008360372157767415,-5.422664642333984,33500,783,2.038179397583008,0.11538461538461539,637.0384615384615
6800,0.0007142064860090613,-3.3584585189819336,34000,783,2.0401978492736816,0.16981132075471697,635.2075471698113
6900,0.005472411401569843,-3.1374287605285645,34500,783,2.070446014404297,0.24074074074074073,633.5555555555555
7000,0.0001699923595879227,-1.3016300201416016,35000,783,2.049337863922119,0.2,635.290909090909
7100,0.0005854677292518318,-3.1075854301452637,35500,783,2.061861515045166,0.2,635.290909090909
7200,0.00018919653666671365,-1.900740623474121,36000,783,2.0638630390167236,0.125,636.1785714285714
7300,0.38726645708084106,0.005104959011077881,36500,784,2.074085235595703,0.15789473684210525,636.1754385964912
7400,0.0003049237420782447,-14.393803596496582,37000,784,2.057263135910034,0.1896551724137931,636.2931034482758
7500,1.0421555042266846,-3.06081485748291,37500,784,2.04083514213562,0.1896551724137931,636.2931034482758
7600,0.005549232941120863,-22.04656982421875,38000,784,2.034658432006836,0.15254237288135594,636.8983050847457
7700,0.00033408994204364717,-6.528850078582764,38500,784,2.071820020675659,0.13333333333333333,637.7166666666667
7800,0.0002774429158307612,-1.125532627105713,39000,784,2.0653748512268066,0.11475409836065574,639.0
7900,0.002435159171000123,-14.335492134094238,39500,784,2.038414478302002,0.11475409836065574,639.0
8000,0.0006474672118201852,-6.580612659454346,40000,784,2.0273022651672363,0.0967741935483871,640.1290322580645
