optimgain,explained_variance_tdlam_before,meankl,TimeElapsed,EpLenMean,EpRewMean,EpisodesSoFar,entropy,entloss,EpThisIter,TimestepsSoFar,surrgain
0.06713268,0.9055864661931992,0.012694814,43.362306356430054,621.375,-0.7,100,1.8724743,0.0,2,64512,0.06713268
0.071740225,0.8667925894260406,0.011145879,44.05865025520325,624.05,-0.65,102,1.863295,0.0,2,65536,0.071740225
0.057175063,0.874224841594696,0.010066007,44.692692041397095,628.35,-0.55,103,1.8517768,0.0,1,66560,0.057175063
0.060565986,0.7963302135467529,0.010278231,45.37977147102356,620.4,-0.6,105,1.8618772,0.0,2,67584,0.060565986
0.061276767,0.7909621298313141,0.008658813,46.1580023765564,620.95,-0.8,106,1.8425641,0.0,1,68608,0.061276767
0.061915997,0.8461685180664062,0.008126944,46.898188829422,627.35,-0.9,108,1.8493227,0.0,2,69632,0.061915997
0.059961043,0.8364561498165131,0.0095578935,47.53281545639038,626.325,-0.9,109,1.8003969,0.0,1,70656,0.059961043
0.061983623,0.6706052720546722,0.009824718,48.18219590187073,627.8,-0.85,110,1.7825178,0.0,1,71680,0.061983623
0.063241735,0.7304829657077789,0.010831347,48.94836759567261,628.425,-0.975,112,1.7632914,0.0,2,72704,0.063241735
0.08948241,0.8305679559707642,0.010137843,49.6611328125,622.375,-1.025,114,1.7999175,0.0,2,73728,0.08948241
0.076684356,0.8567730933427811,0.011855766,50.29482078552246,627.075,-0.95,115,1.768161,0.0,1,74752,0.076684356
0.07736248,0.8007279634475708,0.010949692,50.93873381614685,626.8,-0.925,117,1.8113558,0.0,2,75776,0.07736248
0.054122183,0.6016037166118622,0.0104429005,51.57194948196411,633.55,-0.75,118,1.7961788,0.0,1,76800,0.054122183
0.06654092,0.7849681675434113,0.010089079,52.20800828933716,633.8,-0.7,120,1.8182372,0.0,2,77824,0.06654092
0.051421132,0.7937205582857132,0.009256542,52.8415367603302,631.15,-0.475,122,1.8427098,0.0,2,78848,0.051421132
0.060708955,0.8103459477424622,0.0088931,53.488797426223755,635.925,-0.35,123,1.8084638,0.0,1,79872,0.060708955
0.053216908,0.7678196281194687,0.009039013,54.13214612007141,638.25,-0.475,125,1.8023586,0.0,2,80896,0.053216908
0.062531404,0.873633861541748,0.010045292,54.76680088043213,630.875,-0.525,126,1.8144795,0.0,1,81920,0.062531404
0.07364531,0.8965826407074928,0.009847689,55.547680139541626,636.925,-0.375,128,1.840755,0.0,2,82944,0.07364531
0.06291942,0.8324808180332184,0.012591078,56.30715775489807,642.075,-0.325,130,1.8514295,0.0,2,83968,0.06291942
0.061115216,0.8337215632200241,0.010029582,56.94881796836853,630.75,-0.575,132,1.7415189,0.0,2,84992,0.061115216
0.09270091,0.8841321021318436,0.009015025,57.5850043296814,631.55,-0.3,134,1.799648,0.0,2,86016,0.09270091
0.057691462,0.8309906721115112,0.009106527,58.22220468521118,636.425,-0.175,135,1.7733372,0.0,1,87040,0.057691462
0.058533166,0.8946510031819344,0.009430399,58.861942529678345,635.2,-0.4,137,1.7963811,0.0,2,88064,0.058533166
0.05504244,0.8420435935258865,0.009389479,59.5214478969574,638.975,-0.35,138,1.7913525,0.0,1,89088,0.05504244
0.059301816,0.8024129271507263,0.009998325,60.15781831741333,641.275,-0.125,140,1.7796648,0.0,2,90112,0.059301816
0.052327134,0.9043579399585724,0.0087936055,60.80794811248779,634.5,-0.25,142,1.766534,0.0,2,91136,0.052327134
0.07960962,0.9161399230360985,0.007978753,61.44499373435974,627.225,-0.275,144,1.7827767,0.0,2,92160,0.07960962
0.062180698,0.9154626354575157,0.011799287,62.08448076248169,625.0,-0.3,146,1.7885267,0.0,2,93184,0.062180698
0.059578616,0.8543869107961655,0.0096392315,62.72254920005798,621.6,-0.25,147,1.7601886,0.0,1,94208,0.059578616
0.054601002,0.8033917993307114,0.008629089,63.35946488380432,616.375,-0.375,149,1.8026402,0.0,2,95232,0.054601002
0.06052268,0.8049073964357376,0.01047953,63.99719452857971,608.675,-0.275,151,1.7691847,0.0,2,96256,0.06052268
0.058986306,0.8489005714654922,0.009818634,64.63048315048218,608.825,-0.1,152,1.7889289,0.0,1,97280,0.058986306
0.062628865,0.8911619856953621,0.010805995,65.26894426345825,616.95,0.025,154,1.779073,0.0,2,98304,0.062628865
0.04948564,0.8312976807355881,0.009870464,65.9022626876831,607.1,-0.175,156,1.7545768,0.0,2,99328,0.04948564
0.05503518,0.8875055015087128,0.0094722845,106.27781701087952,607.15,-0.15,157,1.7596939,0.0,1,100352,0.05503518
0.057175092,0.8851313665509224,0.0110218385,211.53762221336365,610.45,-0.225,158,1.7147055,0.0,1,101376,0.057175092
0.05965288,0.7451263964176178,0.010903057,220.4638066291809,615.525,-0.3,160,1.7377248,0.0,2,102400,0.05965288
0.05952482,0.8033432811498642,0.010111085,225.56735515594482,616.4,-0.4,161,1.6991359,0.0,1,103424,0.05952482
0.061229736,0.9250988513231277,0.009542542,234.1590223312378,611.7,-0.675,163,1.6988728,0.0,2,104448,0.061229736
0.060702384,0.8147786259651184,0.0095951,242.51511931419373,609.45,-0.4,165,1.7432585,0.0,2,105472,0.060702384
0.065388635,0.8347905278205872,0.010921467,247.93672561645508,616.4,-0.225,166,1.715833,0.0,1,106496,0.065388635
0.05903197,0.8398286402225494,0.008585203,256.3714475631714,614.975,-0.3,168,1.7079165,0.0,2,107520,0.05903197
0.06434865,0.797197550535202,0.011062942,262.0895402431488,616.45,-0.225,169,1.6536806,0.0,1,108544,0.06434865
0.063702084,0.8902869448065758,0.012392994,269.7147116661072,613.85,-0.4,171,1.6883372,0.0,2,109568,0.063702084
0.057852283,0.9107199236750603,0.012061505,278.1117169857025,616.925,-0.15,173,1.6979587,0.0,2,110592,0.057852283
0.055610105,0.8287734538316727,0.011216553,286.0253562927246,620.0,-0.375,175,1.6425418,0.0,2,111616,0.055610105
0.07919668,0.803313672542572,0.0109413825,294.66442036628723,612.85,-0.05,177,1.7516165,0.0,2,112640,0.07919668
0.054087542,0.9031634032726288,0.008915783,299.14999556541443,614.15,0.05,178,1.7203684,0.0,1,113664,0.054087542
0.045312434,0.9043578431010246,0.010136035,307.37379455566406,612.45,0.05,180,1.7071513,0.0,2,114688,0.045312434
0.055048577,0.8711933195590973,0.010263367,313.1963973045349,615.225,0.025,181,1.7195511,0.0,1,115712,0.055048577
0.064718604,0.8307210803031921,0.0095582865,320.724116563797,614.5,0.2,183,1.7038014,0.0,2,116736,0.064718604
0.04692145,0.8457086235284805,0.013064336,328.3319215774536,628.525,0.175,185,1.5968049,0.0,2,117760,0.04692145
0.050390795,0.8591808974742889,0.009323418,332.81179785728455,633.225,0.225,186,1.6690382,0.0,1,118784,0.050390795
0.076811194,0.898889422416687,0.010176843,341.66842126846313,631.45,0.05,188,1.6307993,0.0,2,119808,0.076811194
0.05042094,0.8987493366003036,0.010680555,349.26236748695374,632.95,-0.075,190,1.7026534,0.0,2,120832,0.05042094
0.06644938,0.8727342188358307,0.009232618,356.4882183074951,624.3,-0.375,192,1.6176131,0.0,2,121856,0.06644938
0.06474446,0.8581487536430359,0.010494221,363.9786319732666,614.3,-0.55,194,1.6564021,0.0,2,122880,0.06474446
0.0604077,0.8444262444972992,0.0094962325,370.7243592739105,620.925,-0.5,195,1.6832681,0.0,1,123904,0.0604077
0.056783922,0.8980541527271271,0.009036979,379.0238745212555,622.15,-0.375,197,1.7013726,0.0,2,124928,0.056783922
0.07121895,0.8203972280025482,0.012193741,383.72870898246765,616.825,-0.275,198,1.6967599,0.0,1,125952,0.07121895
0.055026233,0.894583560526371,0.009114537,391.3631818294525,614.275,-0.375,200,1.667186,0.0,2,126976,0.055026233
0.05591617,0.8780428022146225,0.010187639,399.22344756126404,610.825,-0.425,202,1.671677,0.0,2,128000,0.05591617
0.045951463,0.8975927084684372,0.008412087,404.1071927547455,611.975,-0.4,203,1.5983317,0.0,1,129024,0.045951463
0.061467387,0.847266361117363,0.009602066,413.8145716190338,622.05,-0.6,205,1.6957941,0.0,2,130048,0.061467387
0.05295197,0.8968500196933746,0.009210207,418.749276638031,621.325,-0.7,206,1.6169232,0.0,1,131072,0.05295197
0.058098488,0.903467483818531,0.009276923,426.23038244247437,614.75,-0.75,208,1.6578951,0.0,2,132096,0.058098488
0.052204378,0.8487986475229263,0.009570969,430.7370607852936,616.625,-0.8,209,1.6468022,0.0,1,133120,0.052204378
0.055520095,0.8978579193353653,0.011740639,438.2880778312683,621.7,-0.7,211,1.62518,0.0,2,134144,0.055520095
0.062090956,0.8486575186252594,0.009240346,442.6658945083618,623.8,-0.65,212,1.6363173,0.0,1,135168,0.062090956
0.057496816,0.8775362893939018,0.010148792,450.2515449523926,633.225,-0.65,214,1.6622663,0.0,2,136192,0.057496816
0.051292084,0.8058124035596848,0.011141852,455.0513598918915,631.8,-0.7,215,1.6424135,0.0,1,137216,0.051292084
0.055006836,0.8927054777741432,0.011097163,465.21341824531555,637.65,-0.925,217,1.6044667,0.0,2,138240,0.055006836
0.07515404,0.8539073914289474,0.011429044,472.8523449897766,631.525,-0.975,219,1.6928691,0.0,2,139264,0.07515404
0.050143927,0.870902344584465,0.010255193,480.1224932670593,628.1,-0.925,221,1.6541846,0.0,2,140288,0.050143927
0.05416717,0.8540436327457428,0.0096465815,484.6097676753998,627.875,-0.875,222,1.6187283,0.0,1,141312,0.05416717
0.058215372,0.809131309390068,0.009314918,489.3316638469696,636.625,-0.975,223,1.6312677,0.0,1,142336,0.058215372
0.06006278,0.8291386365890503,0.01149665,496.54274582862854,636.25,-0.925,225,1.5904105,0.0,2,143360,0.06006278
0.04893871,0.8945184424519539,0.010340499,504.5537977218628,634.725,-1.0,227,1.5587647,0.0,2,144384,0.04893871
0.06633741,0.8419680446386337,0.010873122,509.10632824897766,640.175,-0.9,228,1.5808874,0.0,1,145408,0.06633741
0.050297312,0.8908269107341766,0.009885369,516.2925324440002,641.625,-0.8,230,1.590714,0.0,2,146432,0.050297312
0.048735224,0.8140857964754105,0.011594543,521.0878012180328,647.3,-0.75,231,1.5529449,0.0,1,147456,0.048735224
0.08604106,0.8440639227628708,0.012124959,532.5711300373077,651.025,-0.475,233,1.6118362,0.0,2,148480,0.08604106
0.055714708,0.7428239583969116,0.014024943,537.1472194194794,657.075,-0.4,234,1.5355814,0.0,1,149504,0.055714708
0.06309956,0.855382040143013,0.010958714,544.5740921497345,653.75,-0.525,236,1.6016068,0.0,2,150528,0.06309956
0.047950752,0.8109873682260513,0.008335038,549.0700764656067,657.4,-0.45,237,1.5440217,0.0,1,151552,0.047950752
0.054993577,0.8108414113521576,0.009946579,556.4725565910339,658.725,-0.625,239,1.5033878,0.0,2,152576,0.054993577
0.06498149,0.8803885579109192,0.012310233,564.1441102027893,653.925,-0.425,241,1.5908543,0.0,2,153600,0.06498149
0.05387971,0.8163080364465714,0.010330486,569.3839511871338,659.225,-0.375,242,1.5754282,0.0,1,154624,0.05387971
0.05507979,0.8446930199861526,0.01126864,577.1913228034973,657.075,-0.1,244,1.5004058,0.0,2,155648,0.05507979
0.06276596,0.8349855095148087,0.010362543,581.6960780620575,655.275,-0.05,245,1.5372049,0.0,1,156672,0.06276596
0.055911355,0.831196665763855,0.011057222,586.282546043396,657.25,0.025,246,1.5407574,0.0,1,157696,0.055911355
0.06921885,0.8090574890375137,0.01247596,594.5518646240234,664.4,0.275,248,1.5592228,0.0,2,158720,0.06921885
