loss_kl,TimeElapsed,ev_tdlam_before,EpThisIter,TimestepsSoFar,loss_pol_entpen,loss_pol_surr,EpisodesSoFar,loss_vf_loss,loss_ent,EpLenMean,EpRewMean
0.003398895,60315.74734163284,0.8351275771856308,1,785152,-0.017068079,-0.0073599294,1231,0.008308503,1.7068079,621.05,-5.06
0.0024333862,60316.250188589096,0.882780984044075,0,785408,-0.015672646,-0.007230237,1231,0.010210106,1.5672647,621.05,-5.06
0.0024721434,60316.876715898514,0.8468780815601349,1,785664,-0.017851371,-0.0009893682,1232,0.008852117,1.7851372,622.12,-5.06
0.0037103381,60317.50354886055,0.8656991869211197,0,785920,-0.015748061,-0.012074028,1232,0.010605146,1.5748063,622.12,-5.06
0.004136993,60318.05501317978,0.8765443563461304,0,786176,-0.016428301,-0.019925635,1232,0.008815406,1.6428301,622.12,-5.06
0.0032587722,60318.67833566666,0.8391066193580627,1,786432,-0.017489206,-0.0057174936,1233,0.0072659054,1.7489207,621.98,-5.06
0.0036805805,60319.28424859047,0.7135874629020691,0,786688,-0.016225826,-0.011776827,1233,0.027046181,1.6225827,621.98,-5.06
0.0048170816,60319.88037800789,0.8779629766941071,0,786944,-0.017339319,-0.012063851,1233,0.009801788,1.7339318,621.98,-5.06
0.0018162201,60320.47054004669,0.8866685479879379,1,787200,-0.0148419775,-0.008013148,1234,0.008747485,1.4841979,623.38,-5.06
0.0016432046,60321.04990315437,0.7563198953866959,0,787456,-0.016367413,-0.005600633,1234,0.019944027,1.6367414,623.38,-5.06
0.0026267436,60321.64831805229,0.7827074378728867,1,787712,-0.01576969,-0.0053892042,1235,0.01571677,1.576969,624.27,-5.06
0.003709649,60322.245955228806,0.794265016913414,0,787968,-0.015829321,-0.012130866,1235,0.017790353,1.582932,624.27,-5.06
0.0034809962,60322.832045316696,0.8286678045988083,0,788224,-0.016220577,-0.009691023,1235,0.011485056,1.6220578,624.27,-5.06
0.002901158,60323.426772117615,0.832228347659111,1,788480,-0.013593731,-0.0011833375,1236,0.011273954,1.3593732,625.59,-5.06
0.0025862656,60324.021636009216,0.44262826442718506,0,788736,-0.016806219,-0.009254094,1236,0.044219933,1.6806219,625.59,-5.06
0.0033806057,60324.606013059616,0.4081907272338867,0,788992,-0.017041082,-0.008880362,1236,0.015188058,1.7041082,625.59,-5.06
0.002996621,60325.19823908806,0.8984762355685234,1,789248,-0.014322428,-0.0046034437,1237,0.008137015,1.4322428,627.87,-5.05
0.0020055643,60325.783027887344,0.7339258790016174,1,789504,-0.013633053,-0.0027716253,1238,0.026283119,1.3633051,628.18,-5.04
0.002039807,60326.37131214142,0.9343257173895836,0,789760,-0.016102111,-0.005657252,1238,0.0065221842,1.6102111,628.18,-5.04
0.0044457186,61257.67056393623,0.5631326138973236,0,790016,-0.016172817,-0.015140558,1238,0.024188077,1.6172817,628.18,-5.04
0.002897671,61258.26009297371,0.887083612382412,0,790272,-0.015177547,-0.0033074804,1238,0.00888557,1.5177548,628.18,-5.04
0.0015540814,61258.84836268425,0.8579525947570801,1,790528,-0.015057424,-0.0034568943,1239,0.010194637,1.5057423,633.52,-5.07
0.002200636,61259.44537949562,0.8897886201739311,0,790784,-0.015528199,-0.0061630234,1239,0.008689682,1.5528198,633.52,-5.07
0.0025595196,61260.03742837906,0.9078121855854988,0,791040,-0.015389441,-0.007978974,1239,0.008972833,1.5389441,633.52,-5.07
0.003090798,61260.633294820786,0.6281905770301819,1,791296,-0.016631486,-0.0065576974,1240,0.015563019,1.6631486,633.82,-5.07
0.003429573,61261.222469091415,0.8705251812934875,0,791552,-0.017404225,-0.0070898943,1240,0.00987195,1.7404225,633.82,-5.07
0.0021386314,61261.81729602814,0.7411702573299408,1,791808,-0.013649752,-0.006029498,1241,0.014596763,1.3649752,634.42,-5.07
0.0021798098,61262.42223215103,0.8216375857591629,0,792064,-0.016762123,-0.0030879453,1241,0.014423254,1.6762122,634.42,-5.07
0.0020119406,61263.02159833908,0.8505457043647766,0,792320,-0.017015006,-0.008038592,1241,0.0098262,1.7015007,634.42,-5.07
0.0020870892,61263.60789394379,0.8930650278925896,1,792576,-0.016290762,-0.011179872,1242,0.008569465,1.6290762,634.46,-5.07
