EpisodesSoFar,loss_vf_loss,EpLenMean,EpThisIter,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpRewMean
558,0.012767663,633.97,8,0.007820221,-0.0048636803,0.0,352256,850.6732168197632,0.8538249284029007,1.2649336,-4.76
563,0.013018246,638.84,5,0.0085073095,-0.0052267136,0.0,356352,858.168760061264,0.8223828375339508,1.2963955,-4.75
569,0.012017052,637.68,6,0.00993611,-0.0064179176,0.0,360448,865.6637020111084,0.8573132902383804,1.2678899,-4.75
576,0.01067153,647.63,7,0.008296861,-0.0025038915,0.0,364544,873.1514551639557,0.8571354150772095,1.267794,-4.74
582,0.012265259,646.53,6,0.008749303,-0.0072685806,0.0,368640,880.3534820079803,0.8379436582326889,1.2134665,-4.72
589,0.009780605,645.57,7,0.010479979,-0.00716402,0.0,372736,887.6027767658234,0.8418917208909988,1.2497832,-4.73
596,0.011467917,645.69,7,0.007874498,-0.007247085,0.0,376832,894.8869779109955,0.8524126410484314,1.2586707,-4.74
602,0.012503407,645.36,6,0.008786253,-0.004693795,0.0,380928,902.0571269989014,0.8436648398637772,1.2378314,-4.74
609,0.013170612,640.72,7,0.008051924,-0.006562525,0.0,385024,909.2654626369476,0.8259981721639633,1.2120913,-4.74
616,0.013014883,638.99,7,0.011295748,-0.0082382625,0.0,389120,916.4454960823059,0.8603756427764893,1.2065617,-4.72
622,0.013992388,634.13,6,0.008783987,-0.006111462,0.0,393216,923.9089846611023,0.8578180521726608,1.2045147,-4.75
628,0.011643183,633.28,6,0.0077918223,-0.008358322,0.0,397312,931.0242345333099,0.8358698338270187,1.2246476,-4.76
635,0.011559944,633.34,7,0.0097812675,-0.008660078,0.0,401408,1008.2100131511688,0.8576218038797379,1.1845322,-4.78
641,0.010555091,633.35,6,0.009478909,-0.006022052,0.0,405504,1015.4622669219971,0.8198355585336685,1.2190454,-4.79
646,0.010629227,641.03,5,0.007014308,-0.0039966144,0.0,409600,1022.6827607154846,0.8554020822048187,1.190446,-4.82
653,0.011882413,636.0,7,0.008201788,-0.008222702,0.0,413696,1030.1246469020844,0.8685386925935745,1.1752895,-4.81
658,0.011492069,650.74,5,0.007949785,-0.009139047,0.0,417792,1037.5867364406586,0.8490618467330933,1.1531714,-4.79
664,0.017123425,650.7,6,0.0077153454,-0.0026832959,0.0,421888,1045.0098342895508,0.8389220237731934,1.1617527,-4.76
669,0.01634084,657.06,5,0.007991652,-0.0069480846,0.0,425984,1052.2864496707916,0.8410088121891022,1.140019,-4.73
675,0.012507711,661.19,6,0.00911855,-0.00749055,0.0,430080,1059.449162721634,0.8677400201559067,1.1186029,-4.71
680,0.012708035,670.11,5,0.006823177,-0.008245772,0.0,434176,1066.7030458450317,0.8414300233125687,1.0958185,-4.71
686,0.013593424,673.45,6,0.008341251,-0.0077905837,0.0,438272,1074.2269315719604,0.8311015516519547,1.0670476,-4.72
692,0.010763797,679.8,6,0.008087514,-0.006912867,0.0,442368,1081.7499594688416,0.8717230707406998,1.0664004,-4.71
698,0.009916856,676.23,6,0.008810007,-0.005087341,0.0,446464,1089.12140417099,0.8846233040094376,1.015007,-4.72
705,0.010284012,684.31,7,0.008822546,-0.0063187196,0.0,450560,1096.4282007217407,0.8660600185394287,0.97199064,-4.72
710,0.010030929,686.34,5,0.007648766,-0.0069743637,0.0,454656,1103.9575781822205,0.8435958176851273,0.96307224,-4.74
715,0.010501363,698.45,5,0.007441724,-0.0053111548,0.0,458752,1111.2521455287933,0.8455535173416138,0.950555,-4.76
721,0.011070219,706.81,6,0.0065837903,-0.0054507796,0.0,462848,1118.6879997253418,0.8640344738960266,0.94483966,-4.76
727,0.010966281,706.28,6,0.0071392735,-0.0070548397,0.0,466944,1126.0614264011383,0.8706247359514236,0.93116134,-4.76
733,0.010356786,709.87,6,0.007933325,-0.0081133805,0.0,471040,1133.558512687683,0.834899052977562,0.9193575,-4.74
739,0.011096778,710.69,6,0.0077628903,-0.0041949986,0.0,475136,1141.0750544071198,0.8366622924804688,0.91876143,-4.74
746,0.012140156,696.14,7,0.008733102,-0.005128392,0.0,479232,1148.4456689357758,0.8620643466711044,0.87614566,-4.75
753,0.013442221,693.85,7,0.007498677,-0.007533664,0.0,483328,1155.7412457466125,0.8451859056949615,0.88698184,-4.75
759,0.009828586,687.78,6,0.008554136,-0.0061148684,0.0,487424,1162.9172558784485,0.8432658165693283,0.8986919,-4.76
765,0.011523786,682.1,6,0.008744554,-0.005972222,0.0,491520,1170.3197424411774,0.8630726486444473,0.8664577,-4.81
773,0.01345312,670.41,8,0.007349712,-0.0043092864,0.0,495616,1177.8473579883575,0.8466337472200394,0.8600785,-4.83
780,0.010762387,657.09,7,0.006436542,-0.002483801,0.0,499712,1185.0668098926544,0.876716747879982,0.865248,-4.85
785,0.011932193,667.38,5,0.008945621,-0.00491242,0.0,503808,1263.5834665298462,0.8542293012142181,0.8631487,-4.82
791,0.015898077,665.38,6,0.007886087,-0.0043577747,0.0,507904,1270.9352164268494,0.8325190097093582,0.88546336,-4.8
797,0.011578526,666.02,6,0.0071441582,-0.0034430437,0.0,512000,1278.4726407527924,0.8824629113078117,0.88269377,-4.79
803,0.0139589,668.66,6,0.007492991,-0.0024490491,0.0,516096,1286.0085299015045,0.8277411907911301,0.8950585,-4.79
808,0.012267776,672.95,5,0.0064049894,-0.0041038888,0.0,520192,1293.5435917377472,0.8367681801319122,0.87348384,-4.78
814,0.0114093125,656.93,6,0.00791928,-0.004234501,0.0,524288,1301.090265750885,0.8667066246271133,0.86783683,-4.78
821,0.0116713075,651.84,7,0.0077488725,-0.004471425,0.0,528384,1308.3392732143402,0.8627069741487503,0.84052956,-4.77
827,0.01100274,651.99,6,0.0067912866,-0.006825971,0.0,532480,1315.698843240738,0.8536440283060074,0.8598605,-4.78
833,0.010287537,653.54,6,0.0066748094,-0.0070920973,0.0,536576,1323.231053352356,0.8617027848958969,0.839409,-4.79
840,0.010283254,648.54,7,0.00790494,-0.009267365,0.0,540672,1330.495578289032,0.8726314157247543,0.8584189,-4.79
846,0.010326666,655.81,6,0.0060243877,-0.005082281,0.0,544768,1337.8246569633484,0.8629312366247177,0.85020375,-4.78
853,0.0097755045,658.81,7,0.006524393,-0.0046693916,0.0,548864,1345.15496468544,0.8767416775226593,0.8565308,-4.79
860,0.010100109,647.6,7,0.0072551067,-0.006230374,0.0,552960,1352.3499872684479,0.8727621287107468,0.8365529,-4.8
867,0.009615259,644.7,7,0.006970193,-0.0055713886,0.0,557056,1359.5303950309753,0.8764846473932266,0.81215227,-4.82
873,0.009847982,651.54,6,0.0077574793,-0.007344954,0.0,561152,1366.7117955684662,0.8739199787378311,0.80013126,-4.83
879,0.008451156,654.08,6,0.00812229,-0.0057337135,0.0,565248,1374.1065347194672,0.8951773643493652,0.7893552,-4.83
886,0.008864148,650.66,7,0.0074740215,-0.004118163,0.0,569344,1381.4280371665955,0.8818831965327263,0.77809805,-4.86
891,0.009078294,651.99,5,0.0068996446,-0.0036020782,0.0,573440,1388.7917499542236,0.8882932960987091,0.7589864,-4.89
897,0.010307909,655.3,6,0.0062613855,-0.0016450089,0.0,577536,1396.133657693863,0.8463612049818039,0.78720886,-4.88
904,0.010596622,649.05,7,0.0074910624,-0.006689502,0.0,581632,1403.3791778087616,0.8700902462005615,0.80802995,-4.89
910,0.009766089,636.79,6,0.0070298053,-0.0045341835,0.0,585728,1410.8972895145416,0.8818395063281059,0.7854786,-4.92
917,0.010594032,638.35,7,0.006324423,-0.005881982,0.0,589824,1418.4347758293152,0.850610539317131,0.7811876,-4.93
923,0.013870983,639.92,6,0.006371337,-0.004963491,0.0,593920,1425.9525411128998,0.82709801197052,0.79370034,-4.9
931,0.010730829,633.03,8,0.0074953386,-0.004578619,0.0,598016,1433.3255636692047,0.8644683361053467,0.810079,-4.9
938,0.011052679,629.24,7,0.0073611746,-0.007410902,0.0,602112,1512.9327111244202,0.86152184009552,0.7975719,-4.92
943,0.010470197,628.03,5,0.0067680185,-0.0055402545,0.0,606208,1520.1019549369812,0.8425818681716919,0.7510671,-4.93
950,0.009046101,633.17,7,0.0070827072,-0.006225051,0.0,610304,1527.361881017685,0.8719132989645004,0.76713985,-4.91
956,0.0116898455,635.28,6,0.0068650534,-0.0074263746,0.0,614400,1534.5522208213806,0.8201980441808701,0.783129,-4.89
963,0.009210072,639.71,7,0.0065462906,-0.003062415,0.0,618496,1542.0722806453705,0.8667165786027908,0.7815549,-4.89
970,0.012173516,638.04,7,0.0062621096,-0.0043586707,0.0,622592,1549.6187810897827,0.8631687313318253,0.7714768,-4.88
976,0.010753811,640.75,6,0.0072881244,-0.005009845,0.0,626688,1557.0656335353851,0.8481336385011673,0.7357966,-4.86
981,0.009121999,642.97,5,0.0072784983,-0.007286835,0.0,630784,1564.3300952911377,0.8954096436500549,0.7557585,-4.86
987,0.009526012,642.76,6,0.006644939,-0.0066881175,0.0,634880,1571.5676028728485,0.8594395518302917,0.76507074,-4.86
992,0.012381831,649.08,5,0.0060378257,-0.0042390795,0.0,638976,1578.8166060447693,0.8528540879487991,0.75383174,-4.84
998,0.00827921,645.66,6,0.007419636,-0.0072112093,0.0,643072,1586.2967991828918,0.899643711745739,0.7595685,-4.86
1005,0.00875376,648.08,7,0.0060929586,-0.0058792457,0.0,647168,1593.7145431041718,0.8641000092029572,0.7827278,-4.86
1011,0.009784559,649.99,6,0.006196283,-0.0068507926,0.0,651264,1601.2504975795746,0.8505543023347855,0.7495141,-4.84
1018,0.010866548,649.53,7,0.006968239,-0.008403357,0.0,655360,1608.4854333400726,0.8482970595359802,0.7379812,-4.85
