EpThisIter,loss_pol_surr,loss_pol_entpen,ev_tdlam_before,TimestepsSoFar,EpRewMean,TimeElapsed,loss_vf_loss,EpLenMean,EpisodesSoFar,loss_kl,loss_ent
5,-0.0047178534,0.0,0.8501557558774948,1617920,-4.95,6116.493952989578,0.009426003,622.08,2568,0.0034808612,0.34506115
7,-0.0017880683,0.0,0.8926590606570244,1622016,-4.95,6125.49969291687,0.008526093,624.99,2575,0.002937175,0.32562193
6,-0.0028547146,0.0,0.8551879376173019,1626112,-4.93,6135.003415107727,0.007930671,630.67,2581,0.0037767414,0.33537787
7,-0.0033211592,0.0,0.8766979724168777,1630208,-4.92,6143.308447599411,0.009395698,630.81,2588,0.0036560819,0.32608008
7,-0.003914167,0.0,0.8619937896728516,1634304,-4.93,6151.725661993027,0.009099613,630.35,2595,0.003366146,0.2880838
6,-0.0027138798,0.0,0.8185308426618576,1638400,-4.92,6160.128659486771,0.009722652,627.52,2601,0.0040353774,0.32072598
6,-0.003600471,0.0,0.8946676850318909,1642496,-4.92,6168.410660982132,0.0065794736,631.68,2607,0.0038458009,0.35065907
6,-0.004124833,0.0,0.8624186366796494,1646592,-4.92,6177.019600868225,0.0075673703,634.75,2613,0.004156045,0.3396951
6,-0.0030765336,0.0,0.8648592233657837,1650688,-4.9,6185.427635192871,0.010283018,641.54,2619,0.0043366365,0.34054306
7,-0.0035300883,0.0,0.8313876241445541,1654784,-4.9,6194.055818557739,0.010860363,638.77,2626,0.0035732996,0.29314095
5,-0.0036399025,0.0,0.8446090966463089,1658880,-4.89,6202.297294139862,0.008402083,643.77,2631,0.0041181664,0.32703146
7,-0.005478022,0.0,0.8746536374092102,1662976,-4.89,6210.606295108795,0.008048217,645.68,2638,0.004314966,0.33439726
6,-0.002520103,0.0,0.8598450869321823,1667072,-4.88,6219.2863073349,0.010223461,646.37,2644,0.0034638247,0.29905456
7,-0.0022700375,0.0,0.8580466359853745,1671168,-4.88,6227.561284303665,0.009751082,648.79,2651,0.0038425708,0.30086815
7,-0.002978276,0.0,0.8704093098640442,1675264,-4.87,6235.861875772476,0.009998229,652.07,2658,0.0046918695,0.28527892
6,-0.0028927207,0.0,0.8566475510597229,1679360,-4.87,6244.24595952034,0.010365797,645.45,2664,0.004025265,0.30016476
7,-0.0041774437,0.0,0.8464038670063019,1683456,-4.87,6252.48995757103,0.009575245,640.09,2671,0.0035439206,0.27981597
6,-0.0011061884,0.0,0.8596159666776657,1687552,-4.88,6260.770723104477,0.0091684,642.49,2677,0.003982167,0.29315248
7,-0.0036994265,0.0,0.8510613590478897,1691648,-4.9,6268.8671815395355,0.009830371,637.65,2684,0.0043665837,0.2742606
7,-0.0030736784,0.0,0.8394330888986588,1695744,-4.88,6277.132282495499,0.010887048,635.43,2691,0.00358192,0.288178
7,-0.002737302,0.0,0.8543210476636887,1699840,-4.84,6285.656320571899,0.0103158485,639.84,2698,0.0041547073,0.28415442
6,-0.002514102,0.0,0.8438089489936829,1703936,-4.85,6364.493810415268,0.011301207,636.91,2704,0.004037642,0.29688156
7,-0.003314979,0.0,0.8673771768808365,1708032,-4.84,6372.88786149025,0.0095725,632.26,2711,0.003921485,0.3013004
5,-0.0036101318,0.0,0.8859194964170456,1712128,-4.85,6381.741148471832,0.008572294,633.69,2716,0.00421502,0.32081217
7,-0.0033997733,0.0,0.8813423663377762,1716224,-4.87,6390.024182796478,0.010417215,629.9,2723,0.003772204,0.28469828
6,-0.0027823236,0.0,0.8713714927434921,1720320,-4.88,6398.154745101929,0.00917927,627.94,2729,0.0036141276,0.30339667
7,-0.0038087897,0.0,0.847171425819397,1724416,-4.85,6406.451708316803,0.011136959,626.39,2736,0.004127626,0.31568995
6,-0.0004432833,0.0,0.8756842315196991,1728512,-4.84,6414.749744415283,0.009302459,627.9,2742,0.0032257028,0.27809846
6,-0.0016837256,0.0,0.8306401073932648,1732608,-4.85,6423.04833984375,0.010253361,627.77,2748,0.0043851254,0.31510782
6,-0.0031188922,0.0,0.8893242552876472,1736704,-4.86,6431.439476966858,0.0079942625,636.9,2754,0.003995403,0.32318503
7,-0.0028026525,0.0,0.8376938849687576,1740800,-4.86,6439.63844203949,0.010902502,633.53,2761,0.0037540535,0.29087207
7,-0.0044502206,0.0,0.8465415984392166,1744896,-4.85,6448.332658529282,0.012013771,630.28,2768,0.0037652813,0.3024052
6,-0.00353223,0.0,0.8517181873321533,1748992,-4.85,6456.456658363342,0.010100465,631.45,2774,0.0044984594,0.32503712
7,-0.002096643,0.0,0.8597438037395477,1753088,-4.85,6464.632698774338,0.010864176,629.88,2781,0.0038189387,0.29322925
8,-0.0030453391,0.0,0.8713661283254623,1757184,-4.86,6472.7169880867,0.009471285,629.39,2789,0.003725363,0.30634227
5,-0.002946639,0.0,0.876614935696125,1761280,-4.9,6481.248986959457,0.008273666,635.77,2794,0.0037449745,0.35614973
7,-0.0010690126,0.0,0.8655803799629211,1765376,-4.91,6489.49724316597,0.008711429,632.58,2801,0.0038839264,0.30223063
7,-0.0034160651,0.0,0.8440870344638824,1769472,-4.91,6497.83288025856,0.011284278,630.7,2808,0.003921212,0.2667197
7,-0.0032620416,0.0,0.8657694458961487,1773568,-4.91,6506.084885120392,0.009462576,625.97,2815,0.0040411316,0.295003
7,-0.0027700346,0.0,0.8629423528909683,1777664,-4.92,6514.324843406677,0.0089928135,622.72,2822,0.0035471362,0.28614423
6,-0.0033143302,0.0,0.8424452096223831,1781760,-4.91,6522.6908440589905,0.011625213,620.17,2828,0.0045621707,0.28640768
7,-0.0020730018,0.0,0.8736255913972855,1785856,-4.93,6530.797437667847,0.007955894,620.42,2835,0.0037463533,0.30487663
6,-0.003978122,0.0,0.8262754380702972,1789952,-4.93,6538.9004373550415,0.011256959,623.77,2841,0.004197247,0.28975192
7,-0.0014012717,0.0,0.8482897579669952,1794048,-4.91,6547.413800954819,0.010874711,621.39,2848,0.004116196,0.27594486
6,-0.0045438,0.0,0.8538566827774048,1798144,-4.9,6555.812403202057,0.010762298,615.82,2854,0.004343164,0.2904807
6,-0.0032510166,0.0,0.8689222782850266,1802240,-4.91,6638.431522130966,0.010504817,617.88,2860,0.004069727,0.29733458
