EpLenMean,TimestepsSoFar,loss_pol_surr,loss_kl,EpRewMean,loss_vf_loss,loss_pol_entpen,loss_ent,EpThisIter,TimeElapsed,ev_tdlam_before,EpisodesSoFar
2902.76,10031104,-0.023106128,0.012608256,1.34,0.0035658735,0.0,0.6338322,1,15047.244492769241,0.1430145502090454,5473
2903.45,10035200,-0.025624035,0.01349984,1.31,0.002014817,0.0,0.64090216,1,15052.870635986328,0.4934762120246887,5474
2911.55,10039296,-0.020895267,0.012610209,1.28,0.0019910792,0.0,0.6203866,2,15058.798670768738,0.524044007062912,5476
2914.42,10043392,-0.022168998,0.012363814,1.28,0.002855665,0.0,0.610388,1,15064.108399152756,0.6435416042804718,5477
2914.42,10047488,-0.0283374,0.013920803,1.22,0.0012886742,0.0,0.6187834,1,15069.708846569061,0.4921666383743286,5478
2914.42,10051584,-0.027608542,0.014465227,1.15,0.00027012388,0.0,0.63969725,2,15075.208799600601,-0.406133770942688,5480
2914.42,10055680,-0.019376023,0.010316517,1.11,0.002652619,0.0,0.6218095,1,15080.7723031044,0.41214168071746826,5481
2914.42,10059776,-0.024008779,0.014339105,1.1,0.0018640747,0.0,0.6393442,1,15085.937940359116,0.5529567897319794,5482
2914.42,10063872,-0.025926238,0.012699687,1.04,0.004767731,0.0,0.6090202,2,15091.282724618912,0.6351749300956726,5484
2914.42,10067968,-0.0248794,0.014180005,1.05,0.002468075,0.0,0.6233633,1,15097.167585134506,0.7116711139678955,5485
2921.34,10072064,-0.020881958,0.012913299,0.99,0.0003165041,0.0,0.6238815,2,15102.59526515007,-0.5540475845336914,5487
2921.34,10076160,-0.024485806,0.013281555,0.98,0.0026862049,0.0,0.6308759,1,15107.97260093689,0.6077845990657806,5488
2920.19,10080256,-0.021795375,0.011049641,1.02,0.0025350712,0.0,0.63128567,1,15113.872659444809,0.5908448994159698,5489
2920.19,10084352,-0.02348757,0.012596002,1.03,0.0054988666,0.0,0.6209318,2,15119.763647794724,0.6051177978515625,5491
2920.19,10088448,-0.024478327,0.012882482,1.0,0.0033772711,0.0,0.62322813,1,15125.690737962723,0.41935962438583374,5492
2920.19,10092544,-0.021459365,0.012657779,1.0,0.0014319964,0.0,0.6348634,1,15131.626668214798,0.025782525539398193,5493
2926.14,10096640,-0.020831436,0.012012114,0.95,0.003290798,0.0,0.6213089,2,15137.56144952774,0.42511653900146484,5495
2926.14,10100736,-0.026234522,0.012210013,0.92,0.0009829482,0.0,0.65309757,1,15143.487950325012,0.35842281579971313,5496
2926.14,10104832,-0.020670015,0.012815201,0.88,0.0054081376,0.0,0.62381566,1,15149.048918247223,0.5742801129817963,5497
2926.14,10108928,-0.024380295,0.012963446,0.91,0.0024726144,0.0,0.6337645,2,15154.577318668365,0.5833920538425446,5499
