loss_pol_surr,loss_ent,EpisodesSoFar,loss_vf_loss,loss_pol_entpen,TimestepsSoFar,ev_tdlam_before,loss_kl,EpThisIter,TimeElapsed,EpRewMean,EpLenMean
-0.017065208,1.9119067,10,0.015471047,-0.019119067,6400,0.6785483062267303,0.0034271493,1,4.6987693309783936,-4.9,630.7
-0.026267836,1.9636726,10,0.017518334,-0.019636726,6656,0.6392256617546082,0.010069031,0,4.892360687255859,-4.9,630.7
-0.028970132,1.8776965,11,0.016559511,-0.018776966,6912,0.7429469525814056,0.018028414,1,5.086382627487183,-4.909090909090909,620.4545454545455
-0.012908168,1.7496464,11,0.011161898,-0.017496465,7168,0.8677700757980347,0.010530394,0,5.28057599067688,-4.909090909090909,620.4545454545455
-0.021867637,1.795496,12,0.014004426,-0.017954957,7424,0.5629070103168488,0.020582356,1,5.474420785903931,-4.916666666666667,604.0833333333334
-0.028317105,1.8730831,12,0.018006908,-0.01873083,7680,0.7423835098743439,0.007031342,0,5.668048620223999,-4.916666666666667,604.0833333333334
-0.020986006,1.803318,13,0.011107899,-0.018033179,7936,0.3641156554222107,0.011282729,1,5.862025260925293,-4.923076923076923,606.3846153846154
-0.02206761,1.7324828,13,0.01376049,-0.017324828,8192,0.6104990839958191,0.005399959,0,6.056480407714844,-4.923076923076923,606.3846153846154
-0.018047057,1.7988858,13,0.018996313,-0.017988857,8448,0.3880816102027893,0.005309297,0,6.250136375427246,-4.923076923076923,606.3846153846154
-0.02312343,1.765116,14,0.015498847,-0.01765116,8704,0.6878840327262878,0.011324221,1,6.443329572677612,-4.928571428571429,607.7857142857143
-0.018656552,1.7532334,15,0.010036591,-0.017532334,8960,0.8066567629575729,0.01833861,1,6.6368324756622314,-4.933333333333334,596.5333333333333
-0.019094275,1.789038,15,0.01404247,-0.017890379,9216,0.3243356943130493,0.007769704,0,6.8299994468688965,-4.933333333333334,596.5333333333333
-0.021562528,1.8194085,15,0.014047964,-0.018194085,9472,0.5964516997337341,0.0084744,0,7.023060083389282,-4.933333333333334,596.5333333333333
-0.016626619,1.8218216,15,0.026018478,-0.018218216,9728,0.7327299118041992,0.010171221,0,7.216741323471069,-4.933333333333334,596.5333333333333
-0.022212341,1.7958729,16,0.009603702,-0.017958729,9984,0.7157215774059296,0.0076126815,1,7.411468744277954,-4.9375,614.375
-0.022837585,1.6745238,16,0.014350227,-0.016745238,10240,0.5892457365989685,0.007127983,0,7.606017827987671,-4.9375,614.375
-0.020791044,1.7509704,17,0.012249245,-0.017509703,10496,0.6966752111911774,0.010550971,1,7.8004961013793945,-4.9411764705882355,614.2941176470588
-0.01921514,1.6216784,17,0.015477918,-0.016216785,10752,0.6174555718898773,0.011803206,0,7.994974136352539,-4.9411764705882355,614.2941176470588
-0.027135096,1.7484236,18,0.0077549373,-0.017484237,11008,0.6358610391616821,0.02834275,1,8.189738273620605,-4.944444444444445,601.8333333333334
-0.016523628,1.6179531,18,0.016275683,-0.016179532,11264,0.8147294670343399,0.0076007755,0,8.383338212966919,-4.944444444444445,601.8333333333334
-0.022565845,1.6623378,19,0.0065091546,-0.016623378,11520,0.8968481346964836,0.010624091,1,8.577245950698853,-4.947368421052632,603.9473684210526
-0.019191897,1.5166717,19,0.0084727,-0.015166716,11776,0.8795462995767593,0.0146073755,0,8.770667552947998,-4.947368421052632,603.9473684210526
-0.011150681,1.4992249,20,0.009892045,-0.014992249,12032,0.8594459295272827,0.017184505,1,8.964443683624268,-4.95,597.7
-0.016878583,1.4586579,20,0.016074117,-0.014586578,12288,0.8468296825885773,0.0074086348,0,9.158239364624023,-4.95,597.7
-0.011274297,1.4125587,21,0.0119094,-0.014125586,12544,0.8485717624425888,0.0037637248,1,9.352005004882812,-4.9523809523809526,590.4285714285714
-0.0326164,1.4364697,21,0.010471276,-0.014364696,12800,0.8440187126398087,0.015133657,0,9.545600891113281,-4.9523809523809526,590.4285714285714
-0.015021786,1.3889483,22,0.012545956,-0.013889482,13056,0.7489983439445496,0.014837772,1,9.740196943283081,-4.954545454545454,588.5
-0.020097839,1.3829367,22,0.014639098,-0.013829365,13312,0.8360485881567001,0.010581324,0,9.935790061950684,-4.954545454545454,588.5
-0.014283797,1.4300488,23,0.011593496,-0.014300488,13568,0.4002763628959656,0.007510881,1,10.132782220840454,-4.956521739130435,582.6086956521739
-0.015568534,1.3783827,23,0.01337469,-0.0137838265,13824,0.7204755544662476,0.008526131,0,10.328808784484863,-4.956521739130435,582.6086956521739
-0.024028163,1.3621701,24,0.007701274,-0.0136217,14080,0.26694512367248535,0.007364422,1,10.503876447677612,-4.958333333333333,580.25
-0.008770339,1.4203644,24,0.011322597,-0.014203643,14336,0.5160062313079834,0.0053420835,0,10.683280229568481,-4.958333333333333,580.25
-0.013655886,1.4297931,24,0.013425894,-0.0142979305,14592,0.8289055973291397,0.0111051565,0,10.856952667236328,-4.958333333333333,580.25
-0.017516516,1.5360045,25,0.008608809,-0.015360044,14848,0.6050682663917542,0.015260167,1,11.03026533126831,-4.96,584.84
-0.023431007,1.4351599,25,0.009318619,-0.014351599,15104,0.7864736169576645,0.014216477,0,11.204376459121704,-4.96,584.84
-0.020879462,1.2675827,25,0.008607729,-0.0126758255,15360,0.8638708293437958,0.012162972,0,11.377766132354736,-4.96,584.84
-0.016311716,1.3634393,26,0.0141296275,-0.013634393,15616,0.6885550916194916,0.018285695,1,11.551432847976685,-4.961538461538462,595.2692307692307
-0.020242145,1.4820601,26,0.013119138,-0.014820601,15872,0.7839229255914688,0.01521232,0,11.725562334060669,-4.961538461538462,595.2692307692307
-0.018540397,1.3825384,27,0.0136768,-0.013825385,16128,0.8318937420845032,0.017594103,1,11.899531602859497,-4.962962962962963,594.2222222222222
-0.014337514,1.4342672,27,0.010045138,-0.01434267,16384,0.8630870133638382,0.008571764,0,12.073644399642944,-4.962962962962963,594.2222222222222
