policy_entropy,nupdates,value_loss,fps,total_timesteps,explained_variance
1.791478157043457,1000,0.003327358514070511,668,5000,-122.9118423461914
1.7917585372924805,1,0.0028060213662683964,8,5,-16.29067611694336
1.7917582988739014,100,0.012455329298973083,358,500,-2.191570997238159
1.7917582988739014,200,0.012133563868701458,437,1000,-17.52312660217285
1.791752576828003,300,0.0918886587023735,471,1500,-19.85948371887207
1.7917439937591553,400,0.023785533383488655,482,2000,-1429.9530029296875
1.7917397022247314,500,0.0235810037702322,494,2500,-7.0640058517456055
1.791717529296875,600,0.0895838588476181,504,3000,-41.44594955444336
1.791674256324768,700,0.0035779408644884825,512,3500,-2.0058510303497314
1.7915127277374268,800,0.018991529941558838,519,4000,-7.038692474365234
1.791560411453247,900,0.016464844346046448,523,4500,-4.807865142822266
1.791404366493225,1000,0.005785420071333647,527,5000,-7.449484825134277
