fps,explained_variance,nupdates,value_loss,policy_entropy,total_timesteps,ep_reward_mean,ep_len_mean
645,-46.081058502197266,4200,0.0008760653436183929,2.064061403274536,21000,-4.735294117647059,603.5882352941177
644,-24.10485076904297,4300,0.013331892900168896,2.0241236686706543,21500,-4.742857142857143,604.8
644,-26.89735984802246,4400,0.0011171097867190838,2.0555214881896973,22000,-4.742857142857143,604.8
643,-67.18407440185547,4500,0.0002749980194494128,2.056311845779419,22500,-4.75,620.7222222222222
643,-1.4087364673614502,4600,0.00014770435518585145,2.042999744415283,23000,-4.756756756756757,619.0
643,-40.74069595336914,4700,0.00626673549413681,2.034090518951416,23500,-4.7631578947368425,618.2631578947369
644,0.6932713687419891,4800,0.00045385383418761194,2.0753283500671387,24000,-4.769230769230769,614.6410256410256
647,-1.5122172832489014,4900,0.00033358478685840964,2.0685436725616455,24500,-4.769230769230769,614.6410256410256
647,-12.96239185333252,5000,0.0017652919050306082,2.0539050102233887,25000,-4.75,613.225
647,-96.31956481933594,5100,0.0025839689187705517,2.0672638416290283,25500,-4.7073170731707314,616.0975609756098
647,0.11175930500030518,5200,0.00014766579261049628,2.0622434616088867,26000,-4.714285714285714,613.6904761904761
644,0.9148348122835159,5300,2.5164092221530154e-05,2.062669038772583,26500,-4.6976744186046515,615.0
642,0.5050880610942841,5400,7.977228233357891e-05,2.074209690093994,27000,-4.704545454545454,612.5
640,-9.077284812927246,5500,0.0003912289976142347,2.0602707862854004,27500,-4.711111111111111,609.6
637,0.9799261055886745,5600,0.0013299579732120037,2.052734375,28000,-4.717391304347826,608.6304347826087
639,0.1656312346458435,5700,0.00016560213407501578,2.0616888999938965,28500,-4.717391304347826,608.6304347826087
641,-0.15793800354003906,5800,3.059850860154256e-05,2.0573744773864746,29000,-4.723404255319149,607.7234042553191
643,0.6365813314914703,5900,6.965788634261116e-05,2.0683095455169678,29500,-4.708333333333333,609.0208333333334
645,0.6687732934951782,6000,6.589730764972046e-05,2.02046537399292,30000,-4.714285714285714,610.8163265306123
648,-9.603745460510254,6100,0.002272320445626974,2.069253921508789,30500,-4.714285714285714,610.8163265306123
651,-0.4547731876373291,6200,0.00043475758866406977,2.0702877044677734,31000,-4.72,611.54
654,-0.8550050258636475,6300,0.0003799272235482931,2.0747859477996826,31500,-4.7254901960784315,611.2549019607843
657,-2.052050828933716,6400,0.0003738677769433707,2.0676109790802,32000,-4.730769230769231,608.25
660,0.5908121168613434,6500,0.00020503730047494173,2.0720362663269043,32500,-4.735849056603773,604.7924528301887
662,-0.3333648443222046,6600,0.0002635005512274802,2.060554027557373,33000,-4.745454545454545,598.8727272727273
665,-27.44977569580078,6700,0.00046307165757752955,2.044083595275879,33500,-4.745454545454545,598.8727272727273
667,-1.9513084888458252,6800,0.00024286801635753363,2.01118540763855,34000,-4.75,606.8392857142857
669,-5.884954452514648,6900,0.0008698102901689708,1.9942214488983154,34500,-4.75,606.8392857142857
671,0.6118106544017792,7000,0.0011387171689420938,2.054567337036133,35000,-4.7368421052631575,611.2105263157895
673,-0.04987061023712158,7100,0.16256371140480042,2.0733344554901123,35500,-4.741379310344827,608.6551724137931
675,-5.327708721160889,7200,0.0012507401406764984,2.060058116912842,36000,-4.745762711864407,606.8813559322034
677,-22373.115234375,7300,0.24731118977069855,2.0635623931884766,36500,-4.75,605.3333333333334
679,-7.772884368896484,7400,0.00016802226309664547,2.057284116744995,37000,-4.737704918032787,605.4262295081967
681,-2.585355758666992,7500,0.0012259556679055095,2.064466953277588,37500,-4.741935483870968,604.4677419354839
683,0.9967864642385393,7600,4.5765909817419015e-06,2.0372934341430664,38000,-4.741935483870968,604.4677419354839
686,-6.598721981048584,7700,0.015535591170191765,2.0300865173339844,38500,-4.746031746031746,604.8253968253969
688,-84.69641876220703,7800,0.01521533913910389,2.0564239025115967,39000,-4.75,605.265625
689,0.9836387187242508,7900,8.910663382266648e-06,2.062770128250122,39500,-4.75,605.265625
688,-4.315527439117432,8000,0.00011058329982915893,2.065972089767456,40000,-4.753846153846154,607.7692307692307
687,-3.4870829582214355,8100,0.00045807487913407385,2.027583599090576,40500,-4.742424242424242,609.4242424242424
686,-44.565948486328125,8200,0.001458850339986384,2.0067100524902344,41000,-4.746268656716418,610.044776119403
685,-10.488147735595703,8300,0.00014430875307880342,2.0748276710510254,41500,-4.746268656716418,610.044776119403
684,0.7712720334529877,8400,0.9646368026733398,2.050034761428833,42000,-4.75,614.0147058823529
684,0.33700716495513916,8500,0.00020318331371527165,2.042602062225342,42500,-4.75,614.0147058823529
683,0.8403901606798172,8600,0.004863338079303503,2.0695865154266357,43000,-4.757142857142857,614.2285714285714
682,-0.5685478448867798,8700,0.0034577094484120607,2.0684800148010254,43500,-4.757142857142857,614.2285714285714
681,-41.60320281982422,8800,0.00720942160114646,2.0670180320739746,44000,-4.76056338028169,612.7042253521126
681,-1.683192253112793,8900,0.001689451397396624,2.0667426586151123,44500,-4.75,611.7638888888889
680,0.8503946512937546,9000,5.185101326787844e-05,2.0640056133270264,45000,-4.7534246575342465,610.8082191780821
680,-12.226277351379395,9100,0.0007622164557687938,2.0718977451324463,45500,-4.743243243243243,612.3243243243244
680,0.7480592429637909,9200,0.0012881688307970762,2.050704002380371,46000,-4.743243243243243,612.3243243243244
679,-25.371469497680664,9300,0.001780085964128375,2.0700414180755615,46500,-4.746666666666667,613.8266666666667
679,0.8081531971693039,9400,0.0003793920041061938,2.0266661643981934,47000,-4.75,614.1315789473684
678,0.9406040944159031,9500,4.503141826717183e-05,2.037325143814087,47500,-4.753246753246753,612.7532467532468
678,-100.10823059082031,9600,0.005473869852721691,2.057966709136963,48000,-4.743589743589744,612.2051282051282
677,-606.09375,9700,0.0026361681520938873,2.0496883392333984,48500,-4.746835443037975,610.2911392405064
676,-4.9552531242370605,9800,0.0030265613459050655,2.056800365447998,49000,-4.75,612.125
676,0.8141349852085114,9900,0.00010559735528659075,2.055701732635498,49500,-4.753086419753086,610.4567901234568
676,-3.3854384422302246,10000,0.00020856104674749076,2.0606467723846436,50000,-4.753086419753086,610.4567901234568
675,-5.183816432952881,10100,0.0025807968340814114,2.0557339191436768,50500,-4.7560975609756095,612.609756097561
675,-24.08116340637207,10200,0.0010954674798995256,2.0748684406280518,51000,-4.759036144578313,610.1807228915662
675,-7.348015785217285,10300,0.0006135130533948541,2.066307544708252,51500,-4.759036144578313,610.1807228915662
675,0.6070132851600647,10400,0.00011820900544989854,2.0517828464508057,52000,-4.75,614.8809523809524
