loss_kl,loss_pol_surr,TimestepsSoFar,loss_ent,ev_tdlam_before,EpisodesSoFar,loss_pol_entpen,loss_vf_loss,TimeElapsed,EpThisIter,EpLenMean,EpRewMean
0.0015262997,-0.007164591,3413248,1.17731,0.058267056941986084,3565,-0.011773099,0.02667502,3784.7310893535614,1,2963.72,27.837200000001655
0.0021800022,-0.010715999,3413504,1.1154535,-0.3998793363571167,3565,-0.011154534,0.00022716996,3784.956188440323,0,2963.72,27.837200000001655
0.002178934,-0.010829445,3413760,1.560766,-1.604950189590454,3565,-0.01560766,0.0008211913,3785.182445526123,0,2963.72,27.837200000001655
0.0016810107,-0.009095231,3414016,1.2267163,-1.8241779804229736,3565,-0.012267163,0.0006948742,3785.36044383049,0,2963.72,27.837200000001655
0.0018320794,-0.007933304,3414272,1.1429543,0.5636687576770782,3565,-0.011429544,0.012383293,3785.54647898674,0,2963.72,27.837200000001655
0.0015442903,-0.009119805,3414528,1.2128017,-2.4852561950683594,3565,-0.012128018,0.00031707934,3785.7434463500977,0,2963.72,27.837200000001655
0.00061370654,-0.0034019165,3414784,1.1149263,0.7782973200082779,3565,-0.011149263,0.0058900914,3785.942489862442,0,2963.72,27.837200000001655
0.0018196594,-0.007550327,3415040,1.3386054,0.4873427152633667,3565,-0.013386055,0.01593193,3786.1364438533783,0,2963.72,27.837200000001655
0.0020936262,-0.008848771,3415296,1.2149565,-2.3318843841552734,3565,-0.012149565,0.00092142285,3786.332456588745,0,2963.72,27.837200000001655
0.0026554163,-0.0056013092,3415552,1.1164106,-4.038015365600586,3565,-0.011164106,0.0006484803,3786.520479440689,0,2963.72,27.837200000001655
0.0011206171,-0.010274522,3415808,1.1205753,-0.9705886840820312,3565,-0.011205753,0.0029563897,3786.7124462127686,0,2963.72,27.837200000001655
0.00226635,-0.0043676198,3416064,1.0324705,0.4781438112258911,3565,-0.010324704,0.0117426,3786.899674654007,0,2963.72,27.837200000001655
0.0012548888,-0.006333839,3416320,1.0651,0.13751929998397827,3566,-0.010651,0.02301455,3787.0906751155853,1,2963.72,27.837200000001655
0.0037878826,-0.008086747,3416576,1.4441447,-3.1995906829833984,3566,-0.0144414455,0.0015558779,3787.285675764084,0,2963.72,27.837200000001655
0.002142212,-0.004497651,3416832,1.3755634,-0.4633018970489502,3566,-0.013755634,0.0021920805,3787.481675386429,0,2963.72,27.837200000001655
0.0038204615,-0.0030517299,3417088,1.0163705,-3.5894856452941895,3566,-0.010163705,0.00048408352,3787.741679906845,0,2963.72,27.837200000001655
0.0024503141,-0.010223497,3417344,1.1588047,0.011438906192779541,3566,-0.011588045,0.0003016977,3787.974307537079,0,2963.72,27.837200000001655
0.0018223076,-0.0057850527,3417600,1.2041941,-1.1260006427764893,3566,-0.01204194,0.00076970446,3788.1843082904816,0,2963.72,27.837200000001655
0.003786159,-0.013619011,3417856,1.2908871,-1.7112882137298584,3566,-0.012908871,9.8594894e-05,3788.387510538101,0,2963.72,27.837200000001655
0.0022932151,-0.012538809,3418112,1.2707988,-0.9556554555892944,3566,-0.012707987,5.421183e-05,3788.6474640369415,0,2963.72,27.837200000001655
