loss_pol_entpen,EpLenMean,loss_kl,EpisodesSoFar,EpRewMean,ev_tdlam_before,TimestepsSoFar,loss_vf_loss,TimeElapsed,loss_pol_surr,loss_ent,EpThisIter
0.0,2897.76,0.0039655548,1564,-2.44,0.5026858747005463,1601536,0.0036014947,1820.5223729610443,-0.0033927737,0.62227196,2
0.0,2897.76,0.0059863767,1565,-2.4,0.3700487017631531,1605632,0.0023595334,1824.9933731555939,-0.0009641391,0.70540863,1
0.0,2902.98,0.006480988,1566,-2.36,0.42798423767089844,1609728,0.0030537115,1829.5473744869232,-0.003450274,0.70830643,1
0.0,2906.5,0.005723831,1568,-2.32,0.5255050659179688,1613824,0.004117126,1834.1033747196198,-0.0025680684,0.6718749,2
0.0,2906.5,0.0042204983,1569,-2.31,0.45656847953796387,1617920,0.0014427141,1838.7409224510193,-0.0012285998,0.68618816,1
0.0,2906.5,0.0053951615,1570,-2.3,0.451778769493103,1622016,0.0026555865,1843.2679238319397,-0.003839145,0.64558434,1
0.0,2913.74,0.005493156,1572,-2.24,0.48168033361434937,1626112,0.003961167,1847.840924501419,-0.002901779,0.715403,2
0.0,2913.74,0.003965435,1573,-2.21,0.536577969789505,1630208,0.0011491715,1852.4809260368347,-0.0027341405,0.61983454,1
0.0,2913.74,0.0063662385,1574,-2.18,0.5028319954872131,1634304,0.0035204778,1857.0139248371124,-0.0058053597,0.75484836,1
0.0,2917.4,0.004541824,1576,-2.14,0.3607470393180847,1638400,0.0024206543,1861.5389242172241,-0.0007500175,0.6366232,2
0.0,2917.4,0.00427504,1577,-2.13,0.3912426233291626,1642496,0.0024234816,1866.079925775528,-0.004588997,0.64396286,1
0.0,2922.71,0.004744348,1579,-2.06,0.37448644638061523,1646592,0.00671939,1870.7539253234863,-0.0021471214,0.6403723,2
0.0,2922.71,0.00447769,1580,-2.03,0.42081451416015625,1650688,0.0017763646,1875.2819256782532,-0.00243492,0.6898916,1
0.0,2922.71,0.0060732495,1581,-2.06,0.5946994721889496,1654784,0.004862018,1879.8699247837067,-0.0022695845,0.67377317,1
0.0,2933.43,0.004550379,1583,-2.04,0.3191353678703308,1658880,0.0019789222,1884.3239243030548,-0.0037074848,0.65066516,2
0.0,2937.21,0.0043581533,1584,-1.99,-0.5742032527923584,1662976,0.00022729508,1888.8419225215912,-0.0027580415,0.7121187,1
0.0,2937.21,0.005413225,1585,-1.95,0.2810363173484802,1667072,0.0019406803,1893.3479223251343,-0.002773941,0.7279378,1
0.0,2933.89,0.0050009075,1587,-1.99,0.41509878635406494,1671168,0.0055763596,1897.8079245090485,-0.0048015076,0.6510193,2
0.0,2933.89,0.0040546507,1588,-2.01,0.5535966753959656,1675264,0.004742257,1902.3869216442108,-0.0031294213,0.6236111,1
0.0,2933.89,0.0050506974,1590,-1.99,0.5473017990589142,1679360,0.0024438454,1906.9249238967896,-0.0036103148,0.63962215,2
0.0,2939.09,0.005972781,1591,-1.96,0.5786897540092468,1683456,0.0027900275,1911.4649221897125,-0.002825476,0.73152333,1
0.0,2939.09,0.004454816,1592,-1.98,0.33209651708602905,1687552,0.0048534293,1916.103832244873,-0.004132741,0.6343236,1
0.0,2939.09,0.0051680794,1594,-1.98,0.7038199007511139,1691648,0.002944162,1920.6478326320648,-0.0032840907,0.6713252,2
0.0,2941.28,0.0037797934,1595,-1.95,0.3627240061759949,1695744,0.0030978788,1925.1928305625916,-0.0025625182,0.69238406,1
0.0,2953.83,0.00625175,1596,-1.93,0.341572642326355,1699840,0.004081006,1929.7818307876587,-0.0050635273,0.697227,1
0.0,2953.83,0.0050231474,1598,-1.89,0.49879926443099976,1703936,0.002374264,1934.1867911815643,-0.0035585708,0.68762976,2
0.0,2953.83,0.004339993,1599,-1.88,0.4516502618789673,1708032,0.0007928459,1938.8097908496857,-0.0024134438,0.7220563,1
0.0,2953.83,0.004401828,1600,-1.85,0.6108333766460419,1712128,0.004437306,1943.4988090991974,-0.004067813,0.6074038,1
0.0,2953.83,0.005681027,1602,-1.89,0.49219077825546265,1716224,0.008567786,1948.0374705791473,-0.004203365,0.6349686,2
0.0,2953.83,0.0047434885,1603,-1.91,0.5781883001327515,1720320,0.0054871556,1952.462478876114,-0.0042698854,0.6486035,1
0.0,2957.11,0.004944437,1605,-1.91,0.6602275967597961,1724416,0.005471936,1956.86643242836,-0.0023664231,0.63645077,2
0.0,2966.78,0.004658423,1606,-1.89,0.6362660527229309,1728512,0.003959513,1961.3814702033997,-0.0033907099,0.6745767,1
0.0,2973.4,0.004422925,1607,-1.86,0.48524874448776245,1732608,0.005517784,1965.9265670776367,-0.005238142,0.66287285,1
0.0,2968.54,0.004872963,1609,-1.91,0.552686482667923,1736704,0.006771838,1970.3495960235596,-0.0034860787,0.56832266,2
0.0,2968.54,0.0053620297,1610,-1.89,0.22928422689437866,1740800,0.0033975444,1974.7665960788727,-0.0027574792,0.6296041,1
0.0,2968.54,0.0049658776,1612,-1.92,0.5362654328346252,1744896,0.008346538,1979.1825969219208,-0.0039412067,0.58814514,2
0.0,2968.54,0.0033361912,1613,-1.92,0.6386765539646149,1748992,0.0035447152,1983.7045965194702,-0.0025161593,0.5419136,1
0.0,2992.09,0.003407136,1614,-1.93,0.5106449723243713,1753088,0.0079233,1998.3955957889557,-0.0020119369,0.5590372,1
0.0,2992.09,0.0048010703,1615,-1.91,0.38322019577026367,1757184,0.0027263062,2002.8535969257355,-0.004516362,0.63160735,1
0.0,2992.09,0.004069458,1616,-1.91,0.5701801478862762,1761280,0.0026824903,2007.3364889621735,-0.0023850158,0.6133806,1
0.0,2992.09,0.004517329,1618,-1.92,0.4130248427391052,1765376,0.005248246,2011.917366027832,-0.003840801,0.61541605,2
0.0,2992.09,0.0044114636,1619,-1.87,0.4533161520957947,1769472,0.0061941147,2016.2973656654358,-0.0022779794,0.6302196,1
0.0,2992.09,0.0036394151,1620,-1.88,-1.3009328842163086,1773568,0.00050612475,2020.6773653030396,-0.0030286878,0.66496545,1
0.0,2992.09,0.0045819622,1622,-1.88,0.49602407217025757,1777664,0.0008543781,2025.132364988327,-0.0035889046,0.6616357,2
0.0,2992.09,0.0052015954,1623,-1.9,0.43898600339889526,1781760,0.005473883,2029.6183648109436,-0.0020463641,0.622576,1
0.0,2992.09,0.0054925834,1624,-1.91,0.5362147986888885,1785856,0.0036800224,2034.0503644943237,-0.003568318,0.65788513,1
0.0,2992.09,0.0037168933,1626,-1.92,0.5915242731571198,1789952,0.0015772685,2038.5212054252625,-0.0014878018,0.63888323,2
0.0,2992.09,0.0060772076,1627,-1.91,0.3977516293525696,1794048,0.0030136434,2043.130065202713,-0.004694451,0.6693786,1
0.0,2999.63,0.0056299423,1629,-1.9,0.5639586746692657,1798144,0.0051399954,2047.7779099941254,-0.002065706,0.7088128,2
0.0,2980.0,0.0042914515,1630,-1.89,0.5697032511234283,1802240,0.0049363617,2052.4059071540833,-0.0026279334,0.66769284,1
0.0,2980.0,0.004522393,1631,-1.88,-1.4018197059631348,1806336,0.00044330469,2056.953948020935,-0.0032284576,0.6415678,1
0.0,2980.0,0.0036350463,1633,-1.86,0.5285210013389587,1810432,0.004039311,2061.477751970291,-0.0034858023,0.6671596,2
0.0,2979.28,0.0046836976,1634,-1.88,0.5363695621490479,1814528,0.0051447037,2065.9236121177673,-0.0038088784,0.66980296,1
0.0,2983.69,0.0044064857,1635,-1.82,0.5381466150283813,1818624,0.0040689143,2070.458526134491,-0.0023981892,0.65850353,1
0.0,2983.69,0.0042713224,1637,-1.79,0.24451285600662231,1822720,0.0013992318,2075.077347278595,-0.0029364782,0.6158879,2
0.0,2983.69,0.0043710554,1638,-1.78,0.527184247970581,1826816,0.0018790159,2079.7053496837616,-0.0029582893,0.6903462,1
0.0,2983.69,0.0044246945,1639,-1.77,0.47483038902282715,1830912,0.0010886567,2084.2703461647034,-0.004057712,0.6660844,1
0.0,2983.69,0.005165428,1641,-1.77,0.6755854189395905,1835008,0.003630486,2088.7603504657745,-0.003037252,0.71193475,2
0.0,2983.69,0.0048245783,1642,-1.79,0.6097292304039001,1839104,0.0036587408,2093.3313496112823,-0.003282101,0.62852025,1
0.0,2983.69,0.003637561,1644,-1.81,0.28788208961486816,1843200,0.002066992,2097.9113507270813,-0.003404015,0.59245795,2
0.0,2983.69,0.0040682675,1645,-1.79,0.5601096451282501,1847296,0.003791749,2102.5193479061127,-0.0011351565,0.6646718,1
0.0,2983.69,0.0046616546,1646,-1.79,0.4749322533607483,1851392,0.0019626897,2107.128348350525,-0.0034543858,0.73735446,1
0.0,2983.72,0.0049285297,1648,-1.78,0.4528288245201111,1855488,0.0052018287,2111.7423651218414,-0.0037648894,0.61397094,2
0.0,2983.72,0.0048803864,1649,-1.79,0.3439829349517822,1859584,0.003410617,2116.39234995842,-0.004392334,0.6670697,1
0.0,2983.72,0.004085422,1650,-1.75,0.454268217086792,1863680,0.003082558,2120.9493503570557,-0.002552466,0.6797153,1
0.0,2983.72,0.005879758,1652,-1.72,0.1678982973098755,1867776,0.0035578515,2125.5103471279144,-0.0040453174,0.67353535,2
0.0,2983.72,0.0038298168,1653,-1.72,0.5218012630939484,1871872,0.0020609398,2130.000204563141,-0.002164602,0.6834721,1
0.0,2994.93,0.003975864,1655,-1.7,0.6371261775493622,1875968,0.0031196834,2134.4681010246277,-0.0024053352,0.6932018,2
0.0,2994.93,0.0042182356,1656,-1.69,-0.0076607465744018555,1880064,0.0015967287,2138.879101037979,-0.0043512415,0.66412735,1
0.0,2994.93,0.005409063,1657,-1.7,0.5932516753673553,1884160,0.0021657532,2143.4451541900635,-0.007575049,0.6697087,1
0.0,3003.72,0.0047883345,1659,-1.64,-1.12017822265625,1888256,0.00034169492,2147.8784132003784,-0.0026674988,0.6979891,2
0.0,3014.65,0.0059323567,1660,-1.6,0.44302284717559814,1892352,0.002962428,2152.334413051605,-0.0057921326,0.70482236,1
0.0,3014.65,0.004770333,1661,-1.6,0.5171414315700531,1896448,0.0031684844,2156.713414669037,-0.0021634777,0.6309825,1
0.0,3014.65,0.0056537413,1663,-1.58,0.6778902411460876,1900544,0.0027317642,2161.140413045883,-0.003128151,0.6626849,2
0.0,3014.65,0.00445129,1664,-1.58,0.6429767906665802,1904640,0.0025824874,2165.547414302826,-0.0013690777,0.7258398,1
0.0,3014.65,0.004367802,1665,-1.59,0.6897946000099182,1908736,0.0026079244,2170.066086292267,-0.005209561,0.64379746,1
0.0,3014.65,0.0034448416,1667,-1.57,-0.8111914396286011,1912832,0.00043060197,2174.6133391857147,-0.0016747122,0.6797592,2
0.0,3014.65,0.003699225,1668,-1.54,0.05911660194396973,1916928,0.001798268,2179.189337015152,-0.002820317,0.6647096,1
0.0,3014.65,0.0043220767,1670,-1.53,0.3510938286781311,1921024,0.0024645936,2183.73578953743,-0.0009287029,0.65703094,2
0.0,3014.65,0.005664736,1671,-1.52,0.5440798401832581,1925120,0.0025339767,2188.3317897319794,-0.004304596,0.6868776,1
0.0,3014.65,0.007363879,1672,-1.51,0.5538626611232758,1929216,0.0047693094,2192.8323936462402,-0.00376475,0.7232453,1
0.0,3014.65,0.0039278176,1674,-1.54,-1.758671760559082,1933312,0.00039827236,2197.4114286899567,-0.0025032277,0.6450673,2
0.0,3014.65,0.004464415,1675,-1.53,0.5024036467075348,1937408,0.002128806,2201.9733905792236,-0.0020685426,0.5758211,1
0.0,3014.65,0.003955445,1676,-1.52,0.6033839583396912,1941504,0.004376088,2206.585384130478,-0.0040138713,0.5534469,1
0.0,3014.65,0.0036919492,1678,-1.59,0.5944096744060516,1945600,0.005311044,2211.229352712631,-0.0040648896,0.6426244,2
0.0,3014.65,0.0040873415,1679,-1.58,0.5347575545310974,1949696,0.00844228,2215.736384868622,-0.0034299307,0.6018493,1
