loss_vf_loss,EpThisIter,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,EpRewMean,loss_kl,loss_ent,TimestepsSoFar,TimeElapsed,loss_pol_surr,EpLenMean
0.0039412137,2,19054,0.0,0.4199868440628052,0.46,0.0026716634,0.54358333,32940032,101263.26995539665,-0.008531501,3000.0
8.1567625e-05,1,19055,0.0,-3.67360258102417,0.45,0.002347431,0.55189383,32944128,101274.96362757683,-0.0064179343,3000.0
0.0015247756,2,19057,0.0,0.6755637228488922,0.47,0.0023589015,0.5420532,32948224,101286.23575043678,-0.0067798365,3000.0
0.002309399,1,19058,0.0,0.6606864929199219,0.46,0.00283832,0.54046494,32952320,101297.1867249012,-0.0073038754,3000.0
0.004426738,1,19059,0.0,0.7348223030567169,0.51,0.0030365186,0.5421868,32956416,101308.02637982368,-0.008003257,3000.0
0.0057523614,2,19061,0.0,0.6116611659526825,0.55,0.002948439,0.5375197,32960512,101318.86280083656,-0.007594142,3000.0
0.0018679389,1,19062,0.0,0.4123501777648926,0.57,0.0034510384,0.54206073,32964608,101330.00115323067,-0.009899632,3000.0
0.00039332465,1,19063,0.0,-1.3263614177703857,0.56,0.0030026566,0.52347624,32968704,101340.93323755264,-0.008892937,3000.0
0.0029625588,2,19065,0.0,0.566162645816803,0.59,0.0023893013,0.5251487,32972800,101352.0753159523,-0.007259624,3000.0
0.0009737521,1,19066,0.0,0.4232662320137024,0.58,0.0025152478,0.5322433,32976896,101362.88222360611,-0.0065828944,3000.0
0.002804795,1,19067,0.0,0.29898566007614136,0.56,0.0032693031,0.53079045,32980992,101373.73112940788,-0.0068805153,3000.0
0.0010649313,2,19069,0.0,-0.07465481758117676,0.54,0.0025048268,0.54540586,32985088,101384.66208767891,-0.006394767,3000.0
0.0036257019,1,19070,0.0,0.33750736713409424,0.52,0.0024579153,0.53713447,32989184,101395.87726068497,-0.005139035,3000.0
0.0029644677,2,19072,0.0,0.40606409311294556,0.53,0.0027701189,0.54002935,32993280,101406.76004433632,-0.0062630647,3000.0
9.2611306e-05,1,19073,0.0,-2.7980329990386963,0.52,0.0033839305,0.545074,32997376,101417.60652446747,-0.007680995,3000.0
0.00097324303,1,19074,0.0,0.673382431268692,0.51,0.002988082,0.5385315,33001472,102046.72332525253,-0.006837297,3000.0
0.0019610745,1,19075,0.0,0.33072566986083984,0.52,0.0024164272,0.5571726,33005568,102060.27907323837,-0.007145348,3010.0
6.515088e-05,2,19077,0.0,-3.6763501167297363,0.55,0.0026532088,0.5404321,33009664,102071.94926595688,-0.006593652,3010.0
0.00049398287,1,19078,0.0,0.2649330496788025,0.56,0.0021301815,0.54278713,33013760,102082.92689466476,-0.0053265896,3010.0
0.0023248028,1,19079,0.0,0.5341835021972656,0.57,0.0029698324,0.5424703,33017856,102093.92694234848,-0.007833002,3010.0
0.00045137893,2,19081,0.0,0.19892746210098267,0.58,0.0027282112,0.5325672,33021952,102104.80597400665,-0.00745869,3010.0
0.0015883384,1,19082,0.0,0.690081775188446,0.57,0.003483312,0.5406643,33026048,102115.72397017479,-0.0059948945,3010.0
0.0033043025,2,19084,0.0,0.14350968599319458,0.55,0.0021396354,0.5468266,33030144,102126.73473501205,-0.0055849236,3010.0
0.00056452554,1,19085,0.0,-0.05718564987182617,0.54,0.0021243524,0.5283125,33034240,102137.81456804276,-0.006559939,3010.0
0.0015229064,1,19086,0.0,0.02781856060028076,0.52,0.0025377932,0.54182017,33038336,102149.1529288292,-0.006082788,3010.0
0.0017009391,2,19088,0.0,0.03970539569854736,0.5,0.0027064965,0.5346496,33042432,102160.83035302162,-0.006400931,3010.0
0.00036094064,1,19089,0.0,0.16083043813705444,0.5,0.0022726792,0.523158,33046528,102171.7734401226,-0.0048285644,3010.0
0.0016559886,1,19090,0.0,0.4306443929672241,0.51,0.002600857,0.5368478,33050624,102183.27029657364,-0.0069948137,3010.0
0.002867511,2,19092,0.0,0.10391819477081299,0.48,0.0023183618,0.540972,33054720,102195.01898574829,-0.006466452,3010.0
0.0022800907,1,19093,0.0,0.2643704414367676,0.46,0.0031442242,0.5519554,33058816,102206.21462798119,-0.005110991,3010.0
0.0008763309,1,19094,0.0,0.20447856187820435,0.44,0.0021925997,0.5205182,33062912,102217.33221673965,-0.004756444,3010.0
0.0033405083,2,19096,0.0,0.49603646993637085,0.45,0.0028631024,0.54614264,33067008,102228.2128162384,-0.007200342,3010.0
